"population","gene","prop"
"RMB2-F01","ACE2",0.99
"RMS1-E09","ACE2",0.23
"BYS2-C01","AHA1",0.06
"BYS2-A11","AIM2",0.29
"BYB1-H06","ALK1",0.98
"BYB1-H10","ALY2",0.24
"BYS2-B09","ANP1",0.5
"RMS1-E09","ANP1",0.24
"RMS1-E09","APL6",1
"RMS1-E09","ARA1",1
"RMS1-E09","ARO1",1
"BYS2-C03","ARP1",0.18
"RMS1-G02","ATG11",0.76
"BYS1-A09","ATG22",0.21
"BYS2-B09","ATP10",0.85
"RMB2-B10","ATR1",0.14
"BYS1-A07","AXL2",1
"RMB2-B10","BCH1",0.71
"BYB2-F10","BCY1",1
"RMB2-F09","BEM2",0.35
"BYS1-E03","BOI1",0.97
"RMS2-D09","BUD8",0.14
"BYS1-A09","CAB3",0.27
"RMS1-D12","CAF4",0.45
"BYS2-D07","CAT2",0.31
"RMS1-E09","CCC2",1
"BYS2-E01","CCW12",0.97
"BYS2-A11","CDC37",0.27
"BYB2-F07","CDC43",0.29
"BYB2-F07","CMP2",0.96
"BYB1-H10","CNE1",0.25
"BYS1-A09","CNE1",0.65
"BYS1-D03","CNE1",0.97
"RMS1-G02","COP1",0.73
"BYB2-F10","COX1",0.93
"RMS1-G02","COX11",0.27
"BYS1-D08","CPD1",0.11
"BYS2-C03","CRF1",0.3
"BYS1-E03","CSF1",0.26
"BYB1-B01","CST6",1
"BYS1-E03","CTR86",0.19
"BYS1-A07","CTS1",1
"BYS1-E03","CUE2",0.27
"BYB2-F10","CUP9",0.31
"BYB2-F10","CUP9",0.55
"BYB2-F07","CWH41",0.85
"RMS2-D09","CWH41",1
"BYS1-E03","DBR1",1
"RMB2-F01","DCW1",0.9
"BYS2-E03","DEF1",0.17
"BYS1-G02","DIE2",0.4
"BYB1-H06","DIG1",0.95
"BYS2-E04","DMA2",0.99
"BYS1-A09","DMC1",0.37
"BYS1-G02","DOA4",0.95
"BYB1-G07","DOT6",0.73
"BYS2-D07","DSL1",0.11
"BYS1-F05","DUR3",0.06
"RMB2-F01","ECM21",1
"BYS1-E03","ECM25",0.93
"RMB2-D08","ECM33",0.43
"RMB1-A02","ECM5",0.17
"RMB2-F01","EDE1",0.85
"BYS1-A08","ELO1",1
"BYB2-F10","ENV9",1
"RMB2-D08","EOS1",0.42
"BYS1-G02","ERG1",0.23
"BYS1-E03","ERG11",1
"BYS2-C06","ERV1",0.07
"BYS1-D03","EXG2",0.99
"BYS1-D07","FAR1",0.8
"RMS1-E09","FAS2",1
"BYS2-C01","FIN1",0.07
"RMB2-D08","FKS1",0.14
"RMB2-F09","FKS1",0.98
"BYB1-H06","FLC2",0.11
"BYS2-C06","FLO10",0.31
"RMS1-H08","FMP41",0.94
"BYB2-F10","GAL1",0.66
"BYS2-E03","GAL11",0.15
"RMB2-F01","GAL11",0.94
"BYS1-A08","GAS1",1
"BYS2-C06","GAS1",1
"BYS2-D06","GAS1",1
"RMS1-E09","GAT1",0.13
"BYB1-H06","GAT2",0.91
"RMS1-E09","GCD1",0.36
"BYS2-E04","GCN1",1
"BYS1-D08","GCN2",0.48
