"population","gene","prop"
"<U+00B5>2","arpB",1
"<U+00B5>1","asnB",1
"<U+00B5>1","aspT",1
"<U+00B5>1","codA",1
"wt2","degQ",1
"wt3","envZ",1
"<U+00B5>1","evgA",1
"<U+00B5>3","fimE",1
"wt1","fliR",1
"<U+00B5>1","frlB",1
"<U+00B5>2","hldE",1
"<U+00B5>2","ilvE",1
"<U+00B5>2","kdgT",1
"<U+00B5>1","lamB",1
"<U+00B5>2","lpxC",1
"<U+00B5>3","malT",1
"<U+00B5>3","manA",1
"wt3","manZ",1
"<U+00B5>1","metT",1
"wt1","ompC",1
"<U+00B5>1","ompC",1
"<U+00B5>2","ompC",1
"wt3","pbpC",1
"wt1","pgm",1
"<U+00B5>1","ptrA",1
"<U+00B5>3","tyrP",1
"wt3","waaO",1
"<U+00B5>1","waaO",1
"<U+00B5>1","ybeM",1
"wt2","yejM",1
"<U+00B5>1","yjhG",1
"<U+00B5>1","ymfQ",1
