"population","gene","prop"
"1G_3","acnB",1.842
"1G_3","acrD",1.268
"1G_1","agaD",1.795
"1G_3","agaS",1.367
"1G_2","aidB",1.048
"1G_2","allB",2.568
"1G_1","allB",2.199
"1G_1","ampE",2.349
"1G_2","apaG",1.468
"1G_2","argD",1.158
"1G_1","arnA",3.165
"1G_3","arnB",1.031
"1G_2","aroD",9.88
"1G_3","aroP",2.202
"1G_3","aroP",2.822
"1G_3","artI",1.242
"1G_1","artJ",2.676
"1G_2","asd",3.553
"1G_1","bglA",1.587
"1G_1","caiC",1.261
"1G_2","casA",1.521
"1G_1","cdsA",1.752
"1G_1","chbB",1.114
"1G_3","cheA",1.483
"1G_1","cheY",3.825
"1G_2","cirA",1.743
"1G_3","cld",1.141
"1G_1","clpA",93.448
"1G_1","cmtB",1.276
"1G_1","copA",1.54
"1G_3","cspE",1.024
"1G_3","cspE",6.003
"1G_1","cvrA",1.117
"1G_3","cvrA",1.067
"1G_1","dacB",1.274
"1G_2","dacC",1.829
"1G_2","dcm",2.046
"1G_2","dcp",2.023
"1G_3","ddlB",8.312
"1G_2","ddpB",2.315
"1G_3","djlB",1.815
"1G_1","downstream iap",2.926
"1G_3","dppB",31.63
"1G_1","dxs",93.435
"1G_3","efeO",1.099
"1G_2","entS",1.09
"1G_2","fadE",1.157
"1G_1","fdrA",92.71
"1G_3","fecA",1.384
"1G_2","fepE",4.992
"1G_1","fepG",2.322
"1G_2","fimD",1.471
"1G_1","fimH",2.544
"1G_2","fimH",7.01
"1G_3","fimH",1.121
"1G_2","fimH",2.968
"1G_1","fimI",13.017
"1G_2","flgJ",8.39
"1G_3","flhB",27.446
"1G_3","fliF",4.507
"1G_3","fliH",1.442
"1G_3","fliH",6.434
"1G_3","fliH",1.149
"1G_2","fliK",1.008
"1G_2","fliM",2.835
"1G_1","fliO",92.229
"1G_2","fliP",10.788
"1G_3","frlB",1.078
"1G_3","frlR",1.311
"1G_1","fryA",94.192
"1G_1","ftsK",31.596
"1G_3","ftsK",1.685
"1G_1","ftsK",1.228
"1G_2","fucI",3.623
"1G_2","fumA",1.256
"1G_3","gabD",1.333
"1G_3","gabT",1.026
"1G_1","gadB",1.333
"1G_1","galR",2.105
"1G_2","galS",1.285
"1G_1","galS",3.796
"1G_2","garD",1.036
"1G_1","garD",1.291
"1G_1","gcl",2.742
"1G_1","glnG",2.786
"1G_1","gshA",4.626
"1G_2","guaB",1.058
"1G_1","gudP",1.167
"1G_2","hcaE",2.208
"1G_2","hflC",1.527
"1G_3","hfq",21.486
"1G_3","hofM",4.905
"1G_3","hrpB",6.944
"1G_1","hslR",17.152
"1G_1","hslU",2.778
"1G_2","hyfD",2.537
"1G_2","hypD",1.312
"1G_3","hypE",1.381
"1G_3","hypF",27.941
"1G_2","hypF",1.412
"1G_3","ilvB",1.258
"1G_3","ispG",1.034
"1G_1","kdsD",1.826
"1G_2","leuE",1.078
"1G_1","lhr",1.968
"1G_2","livM",1.27
"1G_2","lpd",1.277
"1G_2","lptF",1.192
"1G_2","lptG",1.815
"1G_2","lpxC",1.318
"1G_1","lpxD",4.054
"1G_2","lpxD",9.856
"1G_2","lpxM",8.81
"1G_2","malE",1.917
"1G_2","malK",3.853
"1G_3","malK",9.671
"1G_2","malK",1.005
"1G_2","malK",3
"1G_3","malK",13.961
"1G_2","malK",2.16
"1G_3","malK",1.502
"1G_2","malK",1.117
"1G_3","malK",32.657
"1G_2","malK",3.481
"1G_2","malK",1.131
"1G_1","malK",93.557
"1G_2","malK",5.136
"1G_1","malK",1.873
"1G_2","malK",3.953
"1G_2","malK",2.19
"1G_2","malK",1.915
"1G_3","malK",1.649
"1G_2","malK",1.573
"1G_2","malT",3.238
"1G_3","malT",1.117
"1G_2","malT",2.015
"1G_2","malT",4.374
"1G_2","malT",4.752
"1G_3","malT",2.906
"1G_2","malT",1.565
"1G_2","malT",4.873
"1G_2","malT",6.694
"1G_2","malT",1.663
"1G_2","malT",1.443
"1G_3","malT",21.271
"1G_2","malT",1.528
"1G_2","malT",1.104
"1G_2","malT",3.604
"1G_2","malT",1.449
"1G_3","malT",1.362
"1G_2","mdtD",2.387
"1G_3","metL",16.614
"1G_2","mgsA",2.477
"1G_2","mhpE",1.008
"1G_3","mioC",1.241
"1G_1","modE",1.188
"1G_2","mqo",2.66
"1G_1","msbA",2.34
"1G_2","mscM",87.891
"1G_2","mug",1.862
"1G_1","mug",4.414
"1G_3","mukB",32.033
"1G_2","murD",3.795
"1G_1","napG",2.287
"1G_1","narV",1.543
"1G_1","narZ",1.937
"1G_2","nlpA",1.311
"1G_1","opgC",92.321
"1G_2","opgH",1.092
"1G_1","opgH",1.654
"1G_3","opgH",5.037
"1G_3","oxyR",1.594
"1G_2","panF",1.387
"1G_2","paoB",7.598
"1G_1","pepD",1.653
"1G_1","pheU tRNA",1.764
"1G_3","phnG",1.036
"1G_2","phnJ",1.266
"1G_1","phnN",1.266
"1G_1","phoE",1.173
"1G_1","potG",1.329
"1G_2","potI",10.195
"1G_3","prc",4.878
"1G_2","prmC",1.058
"1G_3","pspD",1.075
"1G_3","ptrA",13.084
"1G_2","ptsI",1.449
"1G_1","puuC",93.126
"1G_3","puuE",4.229
"1G_2","qseE",1.117
"1G_2","qseF",1.105
"1G_1","queA",2.152
"1G_3","rbsA",2.245
"1G_3","rcsB",6.308
"1G_3","rcsD",28.721
"1G_2","recB",1.453
"1G_1","recC",6.698
"1G_1","recF",1.601
"1G_1","recO",1.735
"1G_2","recX",1.099
"1G_2","rfaY",1.592
"1G_2","rhaA",8.671
"1G_3","rhlE",1.143
"1G_1","rho",1.223
"1G_2","rho",1.051
"1G_1","rho",92.643
"1G_3","rho",89.783
"1G_1","rhsA",3.089
"1G_2","rlmL",1.272
"1G_1","rnc",4.283
"1G_1","rpoC",1.222
"1G_3","rpoC",4.277
"1G_3","rpoD",1.76
"1G_2","rpoS",3.257
"1G_3","rpoS",2.783
"1G_3","rpoZ",2.873
"1G_3","rpsA",3.623
"1G_2","rsmA",1.25
"1G_2","rsmC",13.129
"1G_2","rsxD",1.22
"1G_3","rutE",3.237
"1G_3","serA",2.583
"1G_2","serS",1.263
"1G_2","sgrR",1.527
"1G_3","sgrR",2.06
"1G_1","slt",1.089
"1G_1","slt",2.1
"1G_2","smf",1.487
"1G_3","speA",1.385
"1G_3","speA",17.098
"1G_3","sppA",1.176
"1G_2","ssnA",1.842
"1G_2","sstT",1.472
"1G_2","stfQ",1.25
"1G_1","tdh",3.071
"1G_3","tktA",1.373
"1G_1","tolQ",9.31
"1G_3","topA",1.045
"1G_1","trpB",6.438
"1G_1","tsgA",1.093
"1G_3","typA",1.571
"1G_2","tyrP",2.844
"1G_1","ubiH",3.672
"1G_2","ung",3.774
"1G_2","upstream dnaG",1.518
"1G_1","upstream dnaG",98.295
"1G_2","upstream essD",5.844
"1G_1","upstream fimA",1.184
"1G_1","upstream mglB",94.697
"1G_2","upstream mglB",73.506
"1G_3","upstream mglB",96.185
"1G_2","upstream mglB",16.765
"1G_3","upstream mog",25.926
"1G_2","upstream rlmA",1.609
"1G_3","upstream rlmA",19.302
"1G_2","upstream yfaQ",2.74
"1G_3","upstream yjcB/yjcC",1.053
"1G_2","upstream yobF",8.076
"1G_2","ushA",8.28
"1G_1","wcaJ",92.161
"1G_2","wzc",1.905
"1G_3","wzxC",1.058
"1G_3","xanP",6.225
"1G_3","yaaU",29.55
"1G_1","yaeI",1.318
"1G_2","yaeI",1.473
"1G_1","yagF",2.027
"1G_3","yagX",1.078
"1G_3","yaiL",29.046
"1G_3","ybdH",1.202
"1G_2","ybeR",1.708
"1G_3","ybhC",1.477
"1G_3","ybhF",91.076
"1G_2","ybhJ",1.688
"1G_3","ybiC",16.113
"1G_3","ybiO",6.169
"1G_3","ybiP",21.849
"1G_3","ybjJ",26.497
"1G_2","ybjL",2.759
"1G_3","ycbL",3.394
"1G_3","ycfQ",28.653
"1G_2","yciM",1.471
"1G_1","ydcP",10.084
"1G_1","ydfK",2.344
"1G_1","ydhP",2.389
"1G_1","ydjY",1.301
"1G_2","yebR",4.796
"1G_3","yeeJ",6.393
"1G_1","yegI",2.196
"1G_3","yegP",1.663
"1G_3","yehY",1.107
"1G_3","yeiE",1.316
"1G_2","yeiI",1.185
"1G_3","yejK",1.02
"1G_1","yfbS",93.504
"1G_2","yfbU",7.13
"1G_3","yfcJ",2.427
"1G_1","yfdV",1.77
"1G_3","yfdX",6.542
"1G_1","yfeO",1.791
"1G_2","yfeW",1.748
"1G_3","yfeX",4.762
"1G_1","yfiH",1.874
"1G_2","yfiR",2.59
"1G_2","yfjI",1.609
"1G_1","yfjY",4.821
"1G_1","yfjZ",93.795
"1G_2","ygbF",1.113
"1G_3","ygbK",2.154
"1G_2","yggL",1.654
"1G_2","yghJ",6.119
"1G_2","ygjD",5.742
"1G_3","ygjN",1.828
"1G_1","yhaJ",11.645
"1G_2","yhgF",1.024
"1G_1","yhhI",1.055
"1G_2","yhhX",1.029
"1G_2","yhjC",4.418
"1G_2","yhjD",1.051
"1G_2","yhjG",3.129
"1G_2","yibD",1.587
"1G_1","yicR",1.062
"1G_2","yjdL",3.061
"1G_1","yjfO",2.955
"1G_1","yjhI",40.847
"1G_1","yjiA",1.141
"1G_2","yjiN",1.232
"1G_2","yjjN",1.982
"1G_3","ymgF",15.869
"1G_1","ynbD",40.246
"1G_2","ynbD",1.238
"1G_1","ynhG",1.02
"1G_3","yoaA",8.669
"1G_3","yoeB",1.333
"1G_2","yohD",1.279
"1G_2","yphE",1.176
"1G_2","yqeA",3.704
"1G_1","yqjF",1.194
"1G_1","yraN",2.186
"1G_2","yraR",2.11
"1G_3","zntA",1.977
