"population","gene","prop"
"A5","fabF",2
"A1","hslU",2
"A3","hslU",2
"A5","hslU",2
"A6","hslU",2
"A5","iclR",2
"A1","infB",2
"A3","ldrC",2
"A1","malT",2
"A3","malT",2
"A6","malT",2
"A1","mrdA",2
"A3","mrdB",2
"A6","mreC",2
"A6","nadR",2
"A1","nagC",2
"A6","prlA",2
"A1","pykF",2
"A3","pykF",2
"A4","pykF",2
"A5","pykF",2
"A6","pykF",2
"A1","spoT",2
"A4","spoT",2
"A1","topA",2
"A3","topA",2
"A5","topA",2
"A5","uvrA",2
"A6","yabB",2
"A1","ybaL",2
"A3","ybcQ",2
"A5","ybeB",2
"A1","yegI",2
"A6","yegM",2
"A5","yfaQ",2
"A3","ytfN",2
