"population","gene","prop"
"E3","ACE2",0.005063291
"E3","ACE2",0.004297594
"E1","ADE16",0.208847737
"E3","APJ1",0.030487805
"E2","ARP8",0.005479452
"E1","ATP6",0.001632575
"E2","BPH1",0.022082019
"E3","BYE1",0.053491828
"E2","CDC55",0.817955112
"E1","CYR1",0.072765073
"E1","DAL81",0.035197
"E3","DAL81",0.020143885
"E2","ECM14",0.008356546
"E1","ERG5",0.003610108
"E3","GAL4",0.1375
"E1","GPB2",0.022350306
"E2","GPB2",0.164423222
"E1","HOG1",0.071272727
"E1","HOG1",0.113658071
"E1","HRD1",0.02686023
"E3","IRA1",0.137037037
"E3","IRA2",0.011058452
"E3","LCB3",0.002096436
"E3","LCB3",0.005244755
"E3","MNN4",0.188747731
"E1","MTH1",0.078037904
"E1","MTH1",0.002554278
"E1","MTH1",0.069246436
"E1","MTH1",0.242827869
"E1","MTH1",0.015681544
"E1","MTH1",0.014082374
"E1","MTH1",0.026206897
"E1","MTH1",0.012588513
"E1","MTH1",0.011952191
"E2","MTH1",0.198347107
"E2","MTH1",0.429576945
"E2","MTH1",0.009029345
"E2","MTH1",0.002688172
"E2","MTH1",0.009259259
"E3","MTH1",0.008827238
"E3","MTH1",0.16985138
"E3","MTH1",0.098393574
"E3","MUK1",0.280808081
"E3","OSH3",0.004942339
"E2","PBS2",0.004640371
"E3","PDE2",0.010135135
"E1","RAS2",0.027264732
"E1","RGT1",0.041112455
"E1","RGT1",0.080890973
"E1","RGT1",0.112852665
"E2","RGT1",0.028634361
"E2","RGT1",0.027027027
"E1","RGT2",0.002014099
"E2","RGT2",0.069444444
"E1","RIM15",0.037878788
"E2","RIM15",0.104790419
"E3","RIM15",0.113696022
"E3","RIM15",0.017162471
"E2","RMR1",0.032178218
"E2","RMT2",0.016853933
"E1","SNF3",0.030753968
"E1","SNF3",0.030012005
"E1","SSK1",0.22638
"E2","SSK1",0.010443864
"E2","SSK1",0.002087683
"E1","SSK2",0.04468719
"E2","SSK2",0.005952381
"E2","SSK2",0.024752475
"E2","SSK2",0.002325581
"E1","SWI1",0.023411371
"E3","UBC13",0.002252252
"E1","VPS13",0.012565445
"E2","VPS25",0.029411765
"E1","VPS28",0.056701031
"E2","WHI2",0.020408163
"E2","WHI2",0.001752242
"E3","YAT1",0.008174387
"E3","YJR115W",0.017142857
