"population","gene","prop"
"BYS1-F05","ACA1",0.01
"BYB2-E05","ACE2",0.06
"BYB2-E05","ACE2",0.01
"BYS1-D07","ACE2",0.01
"BYS2-A11","ACE2",1
"RMB1-A02","ACE2",0.98
"RMB2-F01","ACE2",1
"BYS2-B09","ACS1",0.06
"BYS1-A04","AHC1",0.7
"BYS2-A11","AIM2",0.16
"RMS2-D09","AKL1",0.12
"BYS1-A09","ALB1",0.13
"BYS2-E03","ALG3",0.03
"BYB1-C05","ANP1",0.03
"BYS2-B09","ANP1",0.02
"RMS1-E09","APL6",0.01
"RMS1-E09","ARO1",0.01
"BYS2-C03","ARP1",0.04
"RMB1-A02","ASG1",0.3
"BYS2-A11","ASK1",0.05
"BYS2-B09","ATP10",0.05
"RMB2-B10","ATR1",0.2
"BYB1-H10","AXL2",0.04
"BYS1-A07","AXL2",0.97
"BYB1-H06","BAT1",0.16
"RMB2-B10","BCH1",0.44
"BYB2-F10","BCY1",0.98
"RMB2-F09","BEM2",0.09
"BYS1-E03","BOI1",0.01
"RMB2-B10","BOR1",0.15
"RMS2-D09","BUD8",0.02
"RMS1-D12","CAF4",0.01
"BYS2-D07","CAT2",0.02
"BYS2-E03","CDC55",0.05
"BYS2-D07","CHS2",0.01
"BYS1-G01","CIN2",0.02
"BYS2-E01","CMK2",0.01
"BYB2-F07","CMP2",0.8
"BYS1-A09","CNE1",0.03
"RMS1-G02","COP1",0.02
"BYB2-F10","COX1",0.91
"BYB1-H10","CRF1",0.08
"BYB1-B01","CST6",1
"BYS1-A07","CTS1",0.93
"BYS2-E03","CTS1",0.01
"BYB2-F10","CUP9",0.01
"BYB2-F10","CUP9",0.26
"BYB2-F07","CWH41",0.86
"RMS2-D09","CWH41",0.9
"RMB1-A02","CYB5",0.99
"RMB2-D08","D protein",0.26
"BYS1-E03","DBR1",0.26
"BYB1-H10","DCR2",0.08
"RMB1-A02","DHH1",0.03
"BYS1-G02","DIE2",0.01
"BYS2-E04","DMA2",0.94
"BYS1-G02","DOA4",0.05
"BYB1-G07","DOT6",0.27
"BYS1-G02","DOT6",0.05
"BYS2-B09","DRS1",0.06
"BYS2-A11","DRS2",0.22
"BYS1-D08","DSD1",0.06
"RMB2-F01","ECM21",1
"BYS1-E03","ECM25",0.2
"BYS1-A08","ELO1",1
"BYB2-F10","ENV9",0.97
"RMB2-D08","EOS1",0.02
"BYS1-E03","ERG11",0.37
"BYS2-C06","ERV1",0.31
"BYS1-D03","EXG2",0.06
"BYS1-D07","FAR1",0.82
"RMS1-E09","FAS2",0.01
"BYS1-A04","FAT1",0.25
"BYS1-F05","FEN2",0.18
"RMB2-D08","FKS1",0.97
"RMB2-F09","FKS1",0.85
"RMB2-F01","FLR1",0.03
"BYS1-A04","FMP27",0.01
"RMS2-D09","FMP33",0.01
"RMS1-H08","FMP41",0.06
"BYS1-D07","FYV8",0.24
"BYB2-F10","GAL1",0.21
"BYS2-E03","GAL11",0.15
"BYS1-E03","GAL4",0.01
"BYS2-E03","GAL4",0.05
"BYB2-F10","GAP1",0.05
"BYS1-A08","GAS1",0.99
"BYS2-C06","GAS1",1
"BYS2-D06","GAS1",0.54
"BYB1-H06","GAT2",0.35
"RMB2-B10","GAT2",0.36
"RMS1-E09","GCD1",0.01
"BYS2-E04","GCN1",0.92
"RMS1-E09","GCN1",0.22
"BYS1-D08","GCN2",0.07
"BYS2-C06","GCR1",0.05
"BYS1-G01","GIP1",0.3
"BYB1-H06","GIS4",0.45
"BYB1-H06","GPB1",0.36
"BYS1-D03","GPB1",0.41
"BYS1-G01","GPB2",0.54
"RMB2-F09","GYL1",0.02
"BYB2-F09","HAA1",0.3
"BYS1-D07","HAP1",0.21
"BYS2-E01","HAP1",0.03
"RMS1-H08","HEK2",0.16
"BYS2-B09","HFI1",0.05
"BYS1-D03","HFM1",0.39
"BYB2-F07","HGH1",0.01
"BYS2-E04","HKR1",0.92
"BYS1-E03","HMI1",0.23
"BYS1-E03","HOC1",0.34
"BYS2-B09","HSL1",0.71
"RMS1-E09","HSL1",0.01
"RMS1-H08","HST2",0.01
"BYB2-E05","HUL4",0.04
"BYB1-H06","HXT8",0.22
"BYB1-H10","IDP1",0.08
"BYS1-G01","ILS1",0.03
"BYS2-D07","ILS1",0.27
"BYS1-D08","IML2",0.02
"RMS1-H08","INO80",0.03
"BYS2-E01","IQG1",0.11
"BYB1-C05","IRA1",0.89
"BYB1-H10","IRA1",0.11
"BYB2-E05","IRA1",0.38
"BYB2-E05","IRA1",0.07
"BYB2-F07","IRA1",0.95
