"population","gene","prop"
"BYB2-E05","ACE2",0.08
"BYS2-A11","ACE2",0.91
"RMB1-A02","ACE2",0.77
"BYS1-A04","AHC1",0.04
"BYS1-A09","ALB1",0.01
"RMS1-E09","ANP1",0.01
"BYS2-C03","ARP1",0.01
"BYS2-A11","ASK1",0.01
"RMB2-B10","ATR1",0.03
"BYS1-A07","AXL2",0.09
"BYB1-H06","BAT1",0.19
"RMB2-B10","BCH1",0.04
"BYS2-B09","BCK1",0.01
"BYB2-F10","BCY1",0.05
"RMB2-B10","BOR1",0.55
"BYS1-G01","CDC19",0.12
"BYS1-F05","CDC39",0.01
"BYB2-F10","CMK2",0.01
"BYB2-F07","CMP2",0.5
"RMS1-G02","COP1",0.02
"BYB2-F10","COX1",0.16
"BYS2-C03","CRF1",0.06
"BYS1-E03","CSF1",0.01
"BYB1-B01","CST6",0.63
"BYS1-E03","CTR86",0.01
"BYB2-F07","CWH41",0.4
"RMB1-A02","CYB5",0.9
"RMB2-D08","D protein",0.09
"BYB1-H10","DCR2",0.07
"RMB1-A02","DHH1",0.01
"BYS1-E03","DIA1",0.01
"BYS2-E04","DMA2",0.18
"BYB1-G07","DOT6",0.01
"BYS2-A11","DRS2",0.01
"BYS1-D08","DSD1",0.04
"BYS2-D07","DSL1",0.01
"BYS2-A11","ECM21",0.01
"RMB2-F01","ECM21",0.07
"BYS1-A08","ELO1",0.66
"BYB2-F10","ENV9",0.1
"RMB2-D08","EOS1",0.01
"BYS2-C06","ERV1",0.18
"BYS1-D07","FAR1",0.14
"BYS1-F05","FEN2",0.01
"BYS2-C01","FIN1",0.01
"RMB2-D08","FKS1",0.29
"RMB2-F09","FKS1",0.79
"RMB2-F01","FLR1",0.05
"BYS1-A04","FMP27",0.16
"BYS1-D07","FYV8",0.22
"BYB2-F10","GAP1",0.1
"BYS1-A08","GAS1",0.61
"BYS2-C06","GAS1",0.66
"BYB1-H06","GAT2",0.35
"RMB2-B10","GAT2",0.07
"BYS2-E04","GCN1",0.07
"RMS1-E09","GCN1",0.04
"BYS1-D08","GCN2",0.02
"BYS2-C06","GCR1",0.16
"BYS1-G01","GIP1",0.01
"BYB1-H06","GIS4",0.12
"BYB1-H06","GPB1",0.3
"BYS1-D03","GPB1",0.02
"BYS1-G01","GPB2",0.15
"BYS1-D07","HAP1",0.16
"BYS2-E01","HAP1",0.01
"RMS1-H08","HEK2",0.01
"BYS1-D03","HFM1",0.07
"BYS2-E04","HKR1",0.16
"BYS2-B09","HSL1",0.06
"RMS1-E09","HSL1",0.02
"RMS1-H08","HST2",0.01
"BYB1-H06","HXT8",0.17
"BYS2-E01","IQG1",0.05
"BYB1-C05","IRA1",0.05
"BYB1-H10","IRA1",0.03
