"population","gene","prop"
"PL3","aotJ",0.567
"PL1","aotM",0.297
"PL3","cca",0.228
"PL3","cupB3",0.357
"PL1","gacA",0.335
"PL3","ggt",0.03
"PL1","glpR",0.575
"PL3","glpR",0.316
"PL3","kdpA",0.222
"PL3","mutS",0.286
"PL3","oprP",0.068
"PL3","oprP",0.068
"PL3","orfJ",0.09
"PL1","orfN",0.111
"PL2","orfN",0.089
"PL3","orfN",0.296
"PL2","orn",0.232
"PL3","PA1400680",0.2
"PL1","PA1400760",0.046
"PL2","PA1400760",0.116
"PL1","PA1401160",0.498
"PL1","PA1401160",0.071
"PL2","PA1401160",0.063
"PL2","PA1401160",0.49
"PL3","PA1401160",0.545
"PL3","PA1401160",0.368
"PL1","PA1403860",0.338
"PL3","PA1410700",0.365
"PL3","PA1410770",0.115
"PL3","PA1414170",0.176
"PL1","PA1419940",0.089
"PL2","PA1419940",0.048
"PL1","PA1421700",0.548
"PL3","PA1425990",0.207
"PL1","PA1428880",0.15
"PL3","PA1428895",0.676
"PL3","PA1430870",0.676
"PL3","PA1434810",0.561
"PL3","PA1437880",0.22
"PL3","PA1439240",0.216
"PL3","PA1439520",0.5
"PL1","PA1443080",0.158
"PL2","PA1443080",0.113
"PL3","PA1443080",0.098
"PL1","PA1443610",0.122
"PL3","PA1443610",0.1
"PL3","PA1443710",0.143
"PL3","PA1444950",0.606
"PL3","PA1446650",0.278
"PL1","PA1446980",0.082
"PL3","PA1446980",0.044
"PL3","PA1446980",0.043
"PL3","PA1447060",0.025
"PL3","PA1447090",0.031
"PL3","PA1447360",0.045
"PL3","PA1447850",0.109
"PL3","PA1448140",0.035
"PL1","PA1448470",0.068
"PL1","PA1451650",0.205
"PL2","PA1451650",0.236
"PL3","PA1451650",0.234
"PL3","PA1451830",0.462
"PL3","PA1451860",0.169
"PL3","PA1453560",0.5
"PL3","PA1453700",0.176
"PL2","PA1455770",0.293
"PL3","PA1457470",0.667
"PL3","PA1460790",0.172
"PL1","PA1461200",0.039
"PL1","PA1461200",0.229
"PL1","PA1461200",0.292
"PL1","PA1461200",0.381
"PL1","PA1461200",0.405
"PL2","PA1461200",0.043
"PL2","PA1461200",0.068
"PL2","PA1461200",0.206
"PL2","PA1461200",0.167
"PL2","PA1461200",0.31
"PL2","PA1461200",0.41
"PL2","PA1461200",0.426
"PL3","PA1461850",0.207
"PL2","PA1466380",0.065
"PL1","PA1467280",0.065
"PL2","PA1469980",0.677
"PL2","PA1471300",0.027
"PL3","pilF",0.159
"PL3","pilN",0.5
"PL3","pilQ",0.164
"PL3","ppnK",0.212
"PL3","pscQ",0.212
"PL3","pslK",0.371
"PL2","pssA",0.622
"PL3","recJ",0.6
"PL3","rluC",0.518
"PL1","spuC",0.306
"PL3","uvrA",0.288
