"population","gene","prop"
"BYS1-F05","ACA1",0.12
"BYS1-D07","ACC1",0.09
"BYS2-A11","ACE2",1
"RMB1-A02","ACE2",0.97
"RMB2-F01","ACE2",1
"RMS1-E09","ACE2",0.01
"BYS2-B09","ACS1",0.15
"BYS1-A04","AHC1",0.12
"BYS2-A11","AIM2",0.31
"RMS2-D09","AKL1",0.08
"BYS2-E03","ALG3",0.06
"BYB1-H10","ALY2",0.07
"BYB1-C05","ANP1",0.11
"BYS2-B09","ANP1",0.13
"RMS1-E09","APL6",0.73
"RMS1-E09","ARA1",0.77
"RMS1-E09","ARO1",0.76
"BYS1-F05","ARO80",0.01
"BYS2-C03","ARP1",0.02
"RMB1-A02","ASG1",0.3
"BYS2-A11","ASK1",0.13
"RMS1-G02","ATG11",0.04
"BYS1-A09","ATG22",0.01
"BYS2-B09","ATP10",0.23
"RMB2-B10","ATR1",0.33
"BYB1-H10","AXL2",0.05
"BYS1-A07","AXL2",0.99
"BYB1-H06","BAT1",0.03
"RMB2-B10","BCH1",0.44
"BYB2-F10","BCY1",1
"RMB2-F09","BEM2",0.41
"BYS1-E03","BOI1",0.12
"RMB2-B10","BOR1",0.02
"BYS2-C06","BPL1",0.03
"BYS1-D08","BRR2",0.04
"RMS2-D09","BUD8",0.07
"BYS1-A09","CAB3",0.05
"RMS1-D12","CAF4",0.16
"BYS2-D07","CAT2",0.11
"RMS1-E09","CCC2",0.73
"BYS2-E01","CCW12",0.04
"BYS1-F05","CDC39",0.04
"BYB2-F07","CDC43",0.01
"BYS2-E03","CDC55",0.09
"BYS1-G01","CIN2",0.13
"BYS2-E01","CMK2",0.01
"BYB2-F07","CMP2",0.88
"BYB1-H10","CNE1",0.39
"BYS1-A09","CNE1",0.26
"BYS1-D03","CNE1",0.68
"RMS1-G02","COP1",0.09
"BYB2-F10","COX1",0.92
"BYS1-D08","CPD1",0.02
"BYB1-H10","CRF1",0.12
"BYS2-C03","CRF1",0.03
"BYS1-F05","CRT10",0.07
"BYS1-D07","CSE1",0.04
"BYS1-E03","CSF1",0.03
"BYB1-B01","CST6",1
"BYS1-E03","CTR86",0.01
"BYS1-A07","CTS1",1
"BYS2-E03","CTS1",0.02
"BYS1-E03","CUE2",0.1
"BYB2-F10","CUP9",0.09
"BYB2-F10","CUP9",0.34
"BYB2-F07","CWH41",0.91
"RMS2-D09","CWH41",0.99
"RMB1-A02","CYB5",0.97
"RMB2-D08","D protein",0.16
"BYS1-E03","DBR1",0.93
"BYB1-H10","DCR2",0.02
"RMB2-F01","DCW1",0.01
"BYS2-E03","DEF1",0.03
"RMB1-A02","DHH1",0.21
"BYS1-G02","DIE2",0.08
"BYB1-H06","DIG1",0.02
"BYS2-E04","DMA2",1
"BYS1-A09","DMC1",0.22
"BYS1-G02","DOA4",0.17
"BYB1-G07","DOT6",0.33
"BYS1-G02","DOT6",0.13
"BYS2-B09","DRS1",0.07
"BYS2-A11","DRS2",0.33
"BYS1-D08","DSD1",0.06
"BYS2-D07","DSL1",0.04
"BYS1-F05","DUR3",0.03
"BYS2-A11","ECM21",0.01
"RMB2-F01","ECM21",1
"BYS1-E03","ECM25",0.45
"RMB2-D08","ECM33",0.12
"RMB1-A02","ECM5",0.03
"RMB2-F01","EDE1",0.01
"BYS1-A08","ELO1",1
"RMB2-F01","ENP1",0.01
"BYB2-F10","ENV9",0.99
"RMB2-D08","EOS1",0.11
"BYS1-G02","ERG1",0.07
"BYS1-E03","ERG11",1
"BYS2-E03","ERG11",0.02
"BYS2-C06","ERV1",0.21
"BYS1-D03","EXG2",0.73
"BYS1-D07","FAR1",0.87
"BYS2-A11","FAR7",0.22
"BYS1-A04","FAS1",0.03
"RMS1-E09","FAS2",0.75
"BYS1-A04","FAT1",0.04
"BYS1-F05","FEN2",0.22
"RMB2-D08","FKS1",0.76
"RMB2-F09","FKS1",0.99
"BYS2-C06","FLO10",0.1
"RMB2-F01","FLR1",0.04
"RMS1-H08","FMP41",0.39
"BYS1-D07","FYV8",0.15
"BYB2-F10","GAL1",0.4
"BYS2-E03","GAL11",0.17
"RMB2-F01","GAL11",0.03
"BYS2-E03","GAL4",0.1
"BYS1-A08","GAS1",1
"BYS2-C06","GAS1",1
"BYS2-D06","GAS1",1
"BYB1-H06","GAT2",0.69
"RMB2-B10","GAT2",0.47
"BYS2-E04","GCN1",1
"BYS1-D08","GCN2",0.22
"BYS2-C06","GCR1",0.03
"BYS1-G01","GIP1",0.64
"BYB1-H06","GIS4",0.22
"BYB1-H06","GOS1",0.01
"BYB1-H06","GPB1",0.75
"BYS1-D03","GPB1",0.08
"BYB1-H10","GPB2",0.33
"BYS1-G01","GPB2",0.2
"BYB2-F09","HAA1",0.67
"BYS1-D07","HAP1",0.18
"BYS2-E01","HAP1",0.03
"BYS1-F05","HAP4",0.04
"RMS1-H08","HEK2",0.01
"RMB1-A02","HEM15",0.02
"RMB2-D08","HFD1",0.02
"BYS2-B09","HFI1",0.07
"BYS1-D03","HFM1",0.66
"BYS1-D03","HFM1",0.1
"BYB2-F07","HGH1",0.04
"BYS2-E01","HIM1",0.01
"RMB2-F01","HIP1",0.01
"BYS2-E04","HKR1",1
"BYS1-E03","HMI1",0.36
"BYS1-E03","HOC1",0.01
"RMB1-A02","HOP2",0.08
"BYS2-B09","HSL1",0.95
"RMS1-E09","HSL1",0.04
"RMS1-H08","HST2",0.04
"BYB2-E05","HUL4",0.18
"BYB1-H06","HXT8",0.03
"BYB1-H10","IDP1",0.1
"BYS1-G01","ILS1",0.18
"BYS2-D07","ILS1",0.25
"BYS1-D08","IML2",0.14
"RMS1-H08","INO80",0.45
"BYB1-C05","intergenic",0.08
"BYB1-C05","intergenic",0.01
"BYB1-G07","intergenic",0.57
"BYB1-G07","intergenic",0.05
"BYB1-G07","intergenic",0.54
"BYB1-G07","intergenic",0.07
"BYB1-H06","intergenic",0.11
"BYB1-H06","intergenic",0.04
"BYB1-H06","intergenic",0.39
"BYB1-H06","intergenic",0.32
"BYB1-H06","intergenic",0.11
"BYB1-H06","intergenic",0.1
"BYB1-H10","intergenic",0.25
"BYB1-H10","intergenic",0.36
"BYB1-H10","intergenic",0.11
"BYB1-H10","intergenic",0.01
"BYB2-E05","intergenic",0.19
"BYB2-E05","intergenic",0.02
"BYB2-E05","intergenic",0.03
"BYB2-F07","intergenic",0.01
"BYB2-F07","intergenic",0.13
"BYB2-F09","intergenic",0.63
"BYB2-F10","intergenic",0.97
"BYB2-F10","intergenic",0.6
"BYB2-F10","intergenic",0.1
"BYB2-F10","intergenic",0.34
"BYS1-A04","intergenic",0.26
"BYS1-A04","intergenic",0.04
"BYS1-A04","intergenic",0.76
"BYS1-A07","intergenic",1
"BYS1-A08","intergenic",0.34
"BYS1-A08","intergenic",0.06
"BYS1-A08","intergenic",0.04
"BYS1-A09","intergenic",0.38
"BYS1-A09","intergenic",0.17
"BYS1-A09","intergenic",0.08
"BYS1-A09","intergenic",0.26
"BYS1-A09","intergenic",0.01
"BYS1-A09","intergenic",0.03
"BYS1-A09","intergenic",0.16
"BYS1-A09","intergenic",0.08
"BYS1-A09","intergenic",0.04
"BYS1-A09","intergenic",0.24
"BYS1-A09","intergenic",0.13
"BYS1-A09","intergenic",0.21
"BYS1-A09","intergenic",0.35
"BYS1-A09","intergenic",0.27
"BYS1-A09","intergenic",0.28
"BYS1-A09","intergenic",0.2
"BYS1-A09","intergenic",0.18
"BYS1-D03","intergenic",0.67
"BYS1-D03","intergenic",0.11
"BYS1-D03","intergenic",0.71
"BYS1-D03","intergenic",0.01
"BYS1-D03","intergenic",0.67
"BYS1-D03","intergenic",0.1
"BYS1-D03","intergenic",0.7
"BYS1-D03","intergenic",0.02
"BYS1-D03","intergenic",0.68
"BYS1-D03","intergenic",0.1
"BYS1-D07","intergenic",0.85
"BYS1-D07","intergenic",0.03
"BYS1-D07","intergenic",0.03
"BYS1-D07","intergenic",0.8
"BYS1-D07","intergenic",0.1
"BYS1-D07","intergenic",0.06
