"population","gene","prop"
"A5","acpD",1
"A6","actP",2
"A5","arcA",1
"A6","arcA",2
"A5","asnB",1
"A5","astB",1
"A3","atoS",1
"A5","blr",1
"A5","cirA",1
"A5","cls",1
"A5","crp",1
"A3","cspC",1
"A3","cusS",1
"A5","cusS",1
"A3","cycA",1
"A5","cysQ",1
"A5","dinI",1
"A3","ECB_01510",1
"A5","ECB_01992",1
"A6","ECB_01992",1
"A6","ECB_01992",1
"A3","ECB_02001",1
"A3","ECB_02013",1
"A5","ECB_02013",1
"A5","ECB_02512",1
"A5","ECB_02512",1
"A3","ECB_02816",2
"A5","ECB_02816",1
"A6","ECB_02816",2
"A5","ECB_02852",1
"A5","ECB_03715",1
"A3","ECB_03822",1
"A3","envZ",1
"A6","envZ",2
"A5","fabF",1
"A5","fadL",1
"A5","fdnH",1
"A3","fimA",2
"A3","fis",2
"A5","flu",1
"A6","frdC",2
"A5","gatZ",1
"A3","ggt",1
"A3","glnD",1
"A6","glpG",2
"A3","glpR",1
"A5","glpT",1
"A6","gltA",2
"A6","gyrB",1
"A3","hemE",1
"A5","hflB",1
"A3","hsdM",1
"A5","hsdS",1
"A5","hsdS",1
"A3","hslU",2
"A5","hslU",1
"A6","hslU",2
"A5","hyfA",1
"A5","iap",1
"A6","iap",2
"A3","iclR",1
"A5","iclR",1
"A6","iclR",2
"A5","infB",1
"A6","infC",2
"A3","insB-1",1
"A5","insB-2",1
"A3","insL-1",1
"A5","kduD",1
"A3","ldrC",2
"A3","leuA",1
"A3","lrp",1
"A3","lysQ",1
"A3","malT",2
"A5","malT",1
"A6","malT",2
"A6","malT",2
"A6","malT",2
"A6","manY",2
"A3","menC",1
"A5","menC",1
"A6","menC",2
"A6","metH",2
"A5","metJ",1
"A3","metL",2
"A3","metL",1
"A5","metW",1
"A5","mfd",1
"A3","mrdB",2
"A5","mreC",1
"A6","mreC",2
"A5","mtlD",1
"A3","nadR",2
"A5","nadR",1
"A6","nadR",2
"A6","narZ",2
"A6","nhoA",1
"A3","ompR",1
"A6","oppD",2
"A5","phoH",1
"A5","phoH",1
"A5","phoU",1
"A5","plsB",1
"A3","plsX",1
"A6","prlA",2
"A3","proQ",1
"A3","purL",1
"A5","pykA",1
"A3","pykF",2
"A5","pykF",1
"A5","pykF",1
"A5","pykF",1
"A6","pykF",2
"A6","recO",2
"A3","rhsB",1
"A6","rhsD",2
"A5","rne",1
"A5","rplF",1
"A6","rplF",2
"A3","rplS",2
"A5","rpoA",1
"A3","rpsG",2
"A5","slp",1
"A5","spoT",1
"A6","spoT",2
"A3","sspA",1
"A5","tdh",1
"A5","thrA",1
"A3","tolR",1
"A3","topA",2
"A5","topA",1
"A5","ugpQ",1
"A5","ulaA",1
"A5","uvrA",1
"A3","waaT",2
"A5","waaW",1
"A3","yaaH",1
"A5","yacH",1
"A6","yadH",2
"A3","yaeL",1
"A3","yagU",1
"A5","yahC",1
"A5","yaiT",1
"A3","ybaL",2
"A5","ybaL",1
"A5","ybaL",1
"A3","ybcQ",2
"A5","ybeA",1
"A5","ybeB",1
"A3","ybeF",1
"A5","ybeM",1
"A5","ycbB",1
"A5","ycdM",1
"A6","yddP",1
"A5","ydeU",1
"A5","ydhH",1
"A5","ydhK",1
"A6","ydiQ",1
"A3","yedV",1
"A5","yeeF",1
"A6","yeeF",2
"A5","yeeO",1
"A6","yegB",2
"A6","yegM",2
"A5","yehM",1
"A5","yfaQ",2
"A6","yfhM",2
"A3","yfiQ",1
"A3","yfiR",1
"A6","yfjD",1
"A6","ygaZ",2
"A5","ygbO",1
"A5","yggC",1
"A3","yghB",1
"A5","ygiN",1
"A3","ygjG",1
"A5","ygjG",1
"A5","ygjG",1
"A5","yhbX",1
"A6","yhdG",2
"A5","yhhT",1
"A5","yhjD",1
"A5","yiaT",1
"A3","yiaV",1
"A5","yicC",2
"A6","yicL",2
"A5","yihP",1
"A5","ykgA",1
"A6","ylcG",2
"A5","yliE",1
"A5","ynjI",1
"A5","ynjI",1
"A5","yqeB",1
"A3","yqjK",1
"A3","yrfE",1
"A3","ytfN",2
