"population","gene","prop"
"wt6","[rcsC]<U+0096>[atoC]",1
"<U+00B5>6","ascF ?",1
"<U+00B5>6","betA ?",1
"<U+00B5>6","csdA ?",1
"<U+00B5>4","dnaE ?",1
"wt6","fimE ?",1
"<U+00B5>4","hmp ?",1
"<U+00B5>6","mak ?",1
"<U+00B5>4","mhpA ?",1
"<U+00B5>5","preA ?",1
"<U+00B5>4","proQ ?",1
"<U+00B5>6","rbbA ?",1
"<U+00B5>4","rcsC ?",1
"<U+00B5>5","ssuD ?",1
"<U+00B5>6","ybbD ?",1
"<U+00B5>4","ybgI ?",1
"<U+00B5>5","yebK ?",1
"<U+00B5>5","yfcG ?",1
"<U+00B5>5","yfjL ?",1
"<U+00B5>4","yhjD ?",1
"<U+00B5>6","yjbH ?",1
"wt4","yrfF ?",1
"<U+00B5>5","yrfF ?",1
"<U+00B5>6","yrfF ?",1
