"population","gene","prop"
"BYS1-F05","ACA1",0.13
"BYS1-D07","ACC1",0.05
"BYB2-E05","ACE2",0.02
"BYS2-A11","ACE2",1
"RMB1-A02","ACE2",0.99
"RMB2-F01","ACE2",1
"BYS2-B09","ACS1",0.14
"RMS1-G02","ADE6",0.11
"BYS2-C01","AHA1",0.04
"BYS1-A04","AHC1",0.04
"BYS2-A11","AIM2",0.31
"RMS2-D09","AKL1",0.03
"BYS2-E03","ALG3",0.04
"BYB1-H06","ALK1",0.6
"BYS1-E03","ALT1",0.01
"BYB1-H10","ALY2",0.23
"BYB1-C05","ANP1",0.12
"BYS2-B09","ANP1",0.54
"BYS2-C03","ARP1",0.13
"RMB1-A02","ASG1",0.08
"BYS2-A11","ASK1",0.1
"RMS1-G02","ATG11",0.27
"BYS1-A09","ATG22",0.05
"BYS2-B09","ATP10",0.73
"RMB2-B10","ATR1",0.22
"BYB1-H10","AXL2",0.05
"BYS1-A07","AXL2",1
"RMB2-B10","BCH1",0.47
"BYB2-F10","BCY1",1
"RMB2-F09","BEM2",0.57
"BYS1-E03","BOI1",0.46
"RMB2-B10","BOR1",0.03
"BYS2-C06","BPL1",0.02
"BYS1-D08","BRR2",0.03
"RMS1-D12","BTS1",0.03
"RMS2-D09","BUD8",0.06
"BYS1-A09","CAB3",0.2
"RMS1-D12","CAF4",0.24
"BYS2-E03","CAN1",0.01
"BYS2-D07","CAT2",0.28
"BYS2-E01","CCW12",0.73
"RMB1-A02","CCW12",0.15
"RMS1-G02","CDC24",0.1
"BYS2-E03","CDC28",0.01
"BYS1-F05","CDC39",0.04
"BYS2-E03","CDC39",0.01
"BYB2-F07","CDC43",0.08
"BYS2-E03","CDC55",0.15
"BYS2-C01","CIN1",0.07
"BYS1-G01","CIN2",0.13
"BYB2-F07","CMP2",0.96
"BYB1-H10","CNE1",0.21
"BYS1-A09","CNE1",0.35
"BYS1-D03","CNE1",0.94
"RMS1-G02","COP1",0.35
"BYB2-F10","COX1",0.94
"RMS1-G02","COX11",0.02
"BYS1-D08","CPD1",0.1
"BYB1-H10","CRF1",0.14
"BYS2-C03","CRF1",0.18
"BYS1-F05","CRT10",0.16
"BYS1-D07","CSE1",0.01
"BYS1-E03","CSF1",0.07
"BYB1-B01","CST6",1
"BYS1-E03","CTR86",0.05
"BYS1-A07","CTS1",1
"BYS2-E03","CTS1",0.06
"BYS1-E03","CUE2",0.08
"BYB2-F10","CUP9",0.21
"BYB2-F10","CUP9",0.45
"BYB2-F07","CWH41",0.87
"RMS2-D09","CWH41",0.95
"RMB1-A02","CYB5",0.97
"RMB2-D08","D protein",0.06
"BYS2-B09","DBF20",0.07
"BYS1-E03","DBR1",0.95
"RMB2-F01","DCW1",0.22
"BYS2-E03","DEF1",0.18
"RMB1-A02","DHH1",0.21
"BYS1-E03","DIA1",0.05
"BYS1-G02","DIE2",0.27
"BYB1-H06","DIG1",0.62
"BYB1-H06","DLT1",0.01
"BYS2-E04","DMA2",1
"BYS1-A09","DMC1",0.41
"BYS1-G02","DOA4",0.72
"BYB1-G07","DOT6",0.39
"BYS1-G02","DOT6",0.02
"RMB2-B10","DPB2",0.02
"BYB2-E05","DPS1",0.04
"BYS2-A11","DRS2",0.16
"BYS1-D08","DSD1",0.03
"BYS2-D07","DSL1",0.11
"BYS1-F05","DUR3",0.05
"RMB2-F01","ECM21",1
"BYS1-E03","ECM25",0.53
"RMB2-D08","ECM33",0.15
"RMB1-A02","ECM5",0.1
"RMB2-F01","EDE1",0.28
"BYS1-A08","ELO1",1
"BYB2-F10","ENV9",1
"RMB2-D08","EOS1",0.21
"BYS1-G02","ERG1",0.18
"BYS1-E03","ERG11",1
"BYS2-E03","ERG11",0.03
"BYS2-C06","ERV1",0.03
"BYS1-D03","EXG2",0.97
"BYS1-D07","FAR1",0.84
"BYS2-A11","FAR7",0.02
"BYS1-A04","FAS1",0.02
"BYS1-A04","FAT1",0.04
"BYS1-F05","FEN2",0.12
"BYS2-C01","FIN1",0.09
"RMB2-D08","FKS1",0.37
"RMB2-F09","FKS1",0.99
"BYB1-H06","FLC2",0.06
"BYS2-C06","FLO10",0.27
"BYS2-E03","FLR1",0.03
"RMB2-F01","FLR1",0.07
"RMS1-H08","FMP41",0.74
"BYS1-D07","FYV8",0.25
"BYS1-F05","FYV8",0.01
"BYB2-F10","GAL1",0.44
"BYS2-E03","GAL11",0.25
"RMB2-F01","GAL11",0.23
"BYS1-E03","GAL4",0.08
"BYS2-E03","GAL4",0.08
"BYB2-F10","GAP1",0.01
"BYS1-A08","GAS1",1
"BYS2-C06","GAS1",1
"BYS2-D06","GAS1",1
"BYB1-H06","GAT2",0.86
"RMB2-B10","GAT2",0.58
"BYS2-E04","GCN1",1
"BYS1-D08","GCN2",0.41
"BYS2-E03","GCV2",0.09
"BYS1-G01","GIP1",0.74
"BYB1-H06","GIS4",0.06
"BYB1-H06","GOS1",0.61
"BYB1-H06","GPB1",0.96
"BYS1-D03","GPB1",0.01
"BYB1-H10","GPB2",0.27
"BYS1-A09","GPB2",0.04
"BYS1-G01","GPB2",0.11
"RMS1-D12","GYP7",0.01
"BYB2-F09","HAA1",0.77
"BYS1-E03","HAL9",0.04
"BYS1-D07","HAP1",0.22
"BYS2-E01","HAP1",0.67
"BYS1-F05","HAP4",0.08
"RMB1-A02","HEM15",0.06
"RMB2-D08","HFD1",0.05
"BYS1-D03","HFM1",0.97
"BYS1-D03","HFM1",0.01
"BYB2-F07","HGH1",0.11
"BYS2-E01","HIM1",0.65
"RMB2-F01","HIP1",0.28
"BYS2-E04","HKR1",1
"BYS1-E03","HMI1",0.62
"RMB1-A02","HOP2",0.12
"BYB2-E05","HSF1",0.04
"BYS2-B09","HSL1",1
"BYS2-E01","HSL7",0.79
"BYB2-E05","HUL4",0.22
"BYB1-G07","HXT14",0.07
"BYS2-A11","HXT5",0.29
"BYB1-H10","IDP1",0.22
"BYS1-G01","ILS1",0.18
"BYS2-D07","ILS1",0.26
"BYS1-D08","IML2",0.29
"RMS1-H08","INO80",0.7
"BYS2-E01","IQG1",0.73
"BYB1-C05","IRA1",0.81
"BYB1-H10","IRA1",0.27
"BYB2-E05","IRA1",0.68
"BYB2-E05","IRA1",0.1
"BYB2-F07","IRA1",0.94
"BYB2-F09","IRA1",0.94
"BYS1-A04","IRA1",0.86
