Population,Gene,details,102,150,264,396,450,540
B1,pcoA ?,coding (417/1821 nt),#N/A,#N/A,8.50%,#N/A,#N/A,#N/A
B1,pvdJ ?,V1632A (GTG?GCG) ,#N/A,#N/A,61.80%,74.30%,94.80%,95.80%
B1,tpx ? / ? PA14_31820,intergenic,#N/A,#N/A,#N/A,#N/A,4.00%,#N/A
B1,tpx ? / ? PA14_31820,intergenic,#N/A,#N/A,#N/A,#N/A,3.80%,#N/A
B1,tpx ? / ? PA14_31820,intergenic,#N/A,#N/A,#N/A,#N/A,3.10%,#N/A
B1,tpx ? / ? PA14_31820,intergenic,#N/A,#N/A,#N/A,#N/A,3.20%,#N/A
B1,tpx ? / ? PA14_31820,intergenic,#N/A,#N/A,#N/A,#N/A,3.20%,#N/A
B1,tpx ? / ? PA14_31820,intergenic,#N/A,#N/A,#N/A,#N/A,3.10%,#N/A
B1,tpx ? / ? PA14_31820,intergenic,#N/A,#N/A,#N/A,#N/A,3.10%,#N/A
B1,pvdL ?,G2252S (GGC?AGC) ,#N/A,#N/A,#N/A,25.00%,#N/A,#N/A
B1,pvdD ? / ? fpvA,intergenic,#N/A,#N/A,#N/A,#N/A,1.90%,#N/A
B1,pvdP ?,coding (1261/1635 nt),1.10%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,tpx ?,G124G (GGC?GGG) ,1.50%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,pvdJ ?,V1827E (GTA?GAA) ,1.50%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,pvdJ ?,V1829F (GTC?TTC)  ‡,1.60%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,pvdJ ?,V1829D (GTC?GAC)  ‡,1.60%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,pvdJ ?,V1829V (GTC?GTG)  ‡,1.60%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,pvdJ ?,Y1830N (TAC?AAC)  ‡,1.60%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,pvdJ ?,Y1830S (TAC?TCC)  ‡,1.60%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,pvdD ?,R615W (CGG?TGG) ,1.60%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,bcp ? / ? PA14_51300,intergenic,1.90%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,pvdD ?,P1675P (CCA?CCG) ,2.40%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,pvdD ?,R1676W (CGG?TGG) ,2.40%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,ahpF ?,coding (725/1566 nt),3.50%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,ahpF ?,coding (731/1566 nt),3.70%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,PA14_41440 ? / ? PA14_41450,intergenic,4.10%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,PA14_41440 ? / ? PA14_41450,intergenic,4.20%,#N/A,#N/A,#N/A,#N/A,#N/A
B1,sspB ?,P122S (CCG?TCG) ,#N/A,#N/A,#N/A,#N/A,#N/A,2.80%
B1,ampC ?,E335A (GAG?GCG)  ‡,#N/A,#N/A,#N/A,#N/A,#N/A,3.50%
B1,ampC ?,G336V (GGC?GTC)  ‡,#N/A,#N/A,#N/A,#N/A,#N/A,3.60%
B1,ampC ?,G336R (GGC?CGC)  ‡,#N/A,#N/A,#N/A,#N/A,#N/A,3.60%
B1,ampC ?,E335D (GAG?GAC)  ‡,#N/A,#N/A,#N/A,#N/A,#N/A,3.60%
B1,lysA ?,coding (1237?1239/1248 nt),#N/A,2.10%,#N/A,#N/A,#N/A,#N/A
B1,PA14_37560 ?,coding (553?556/1833 nt),#N/A,2.60%,#N/A,#N/A,#N/A,#N/A
B1,PA14_42140 ?,P46R (CCG?CGG) ,3.60%,6.00%,#N/A,#N/A,#N/A,#N/A
B1,argA ?,coding (1141/1299 nt),5.20%,10.80%,#N/A,#N/A,#N/A,#N/A
B1,argA ?,coding (1140/1299 nt),5.20%,10.80%,#N/A,#N/A,#N/A,#N/A
B1,PA14_65795 ?,coding (1189?1314/1680 nt),#N/A,#N/A,4.50%,#N/A,#N/A,#N/A
B1,lysC ?,A258T (GCC?ACC) ,#N/A,#N/A,9.20%,#N/A,#N/A,#N/A
B1,argA ?,coding (1132?1133/1299 nt),#N/A,#N/A,100%,100%,100%,100%
