gene,population,140,240,335,415,505,585,665,745,825,910,1000
UBX5,BYB1-B01,0,0,0.94,1,1,1,0.96,1,0.99,1,1
CST6,BYB1-B01,0.05,0.63,0.97,1,1,1,1,1,0.99,0.99,1
NSE5,BYB1-B01,0,0,0.94,1,0.99,1,1,1,1,1,1
TRS130,BYB1-B01,0.07,0.49,0.96,1,0.99,1,1,1,1,0.99,1
SFL1,BYB1-B01,0,0,0.9,0.93,0.98,0.95,0.95,0.95,0.94,0.9,0.93
VPS15,BYB1-C05,0,0,0.33,0.93,0.94,0.94,0.82,0.8,0.96,0.96,0.98
IRA1,BYB1-C05,0.02,0.05,0.52,0.89,0.86,0.93,0.81,0.91,0.91,0.93,0.97
intergenic,BYB1-C05,0,0,0,0,0,0,0,0,0.01,0.1,0.2
ANP1,BYB1-C05,0,0,0.01,0.03,0.07,0.11,0.12,0.11,0.05,0.03,0.02
intergenic,BYB1-C05,0.03,0,0,0,0,0,0,0.01,0.14,0.18,0.34
TIR3,BYB1-C05,0,0,0,0,0,0.01,0.01,0.01,0.12,0.29,0.47
YJL171C,BYB1-C05,0,0,0,0,0.01,0,0,0.01,0.02,0.28,0.46
intergenic,BYB1-C05,0,0,0.05,0.05,0.04,0.08,0.08,0.07,0.04,0.25,0.51
YLR177W,BYB1-C05,0,0,0.41,0.77,0.88,0.9,0.77,0.93,0.93,0.95,0.97
STE11,BYB1-C05,0,0,0,0.04,0.08,0.16,0.21,0.29,0.54,0.41,0.28
KEL3,BYB1-C05,0,0,0,0,0,0,0,0.01,0.01,0.03,0.13
intergenic,BYB1-C05,0,0,0.01,0,0,0.01,0,0,0.02,0.12,0.2
ROT2,BYB1-G07,0,0,0.09,0.34,0.52,0.47,0.32,0.14,0.05,0.01,0.03
DOT6,BYB1-G07,0,0.01,0.05,0.27,0.29,0.33,0.39,0.7,0.9,0.93,0.99
PMD1,BYB1-G07,0,0,0.05,0.44,0.55,0.56,0.31,0.19,0.02,0.13,0.02
intergenic,BYB1-G07,0,0.01,0.1,0.52,0.58,0.57,0.28,0.24,0.03,0.04,0.04
PCT1,BYB1-G07,0,0,0.03,0.31,0.34,0.29,0.56,0.81,0.89,0.96,0.94
YUR1,BYB1-G07,0,0,0.02,0.29,0.33,0.39,0.49,0.76,0.87,0.9,0.98
intergenic,BYB1-G07,0,0,0,0,0.02,0.05,0.15,0.13,0,0,0
LTV1,BYB1-G07,0,0,0,0.05,0.15,0.07,0,0,0,0.01,0
SPC3,BYB1-G07,0.11,0.33,0.54,0.38,0.23,0.25,0.43,0.75,0.94,0.95,0.93
HXT14,BYB1-G07,0,0,0,0,0,0,0.07,0.15,0.31,0.52,0.61
IPI3,BYB1-G07,0,0,0,0,0,0,0,0.03,0.2,0.39,0.54
intergenic,BYB1-G07,0,0.01,0.09,0.36,0.63,0.54,0.26,0.14,0.09,0.01,0.06
WHI2,BYB1-G07,0,0.06,0.29,0.38,0.51,0.41,0.28,0.26,0.13,0.02,0.03
WHI2,BYB1-G07,0,0,0,0,0,0.08,0.39,0.75,0.98,0.91,0.96
STE4,BYB1-G07,0,0,0,0,0,0,0.03,0.11,0.13,0.26,0.54
YPR117W,BYB1-G07,0.02,0.17,0.33,0.11,0.02,0.05,0.04,0.06,0,0,0
intergenic,BYB1-G07,0,0,0.07,0.05,0.11,0.07,0.06,0,0.02,0,0
YPR196W,BYB1-G07,0,0,0.08,0.45,0.56,0.41,0.31,0.18,0.03,0.04,0.06
FLC2,BYB1-H06,0,0,0.01,0,0,0,0.06,0.1,0.26,0.47,0.5
REB1,BYB1-H06,0,0,0,0,0,0,0,0.01,0.05,0.17,0.21
PER1,BYB1-H06,0,0.03,0,0.02,0.1,0.11,0.04,0,0,0,0
intergenic,BYB1-H06,0,0,0,0.02,0.02,0.11,0.64,0.91,1,0.99,1
intergenic,BYB1-H06,0,0.04,0.12,0.14,0.02,0.04,0,0,0,0.01,0
intergenic,BYB1-H06,0,0,0,0.05,0.13,0.39,0.82,0.99,1,1,0.99
ALK1,BYB1-H06,0,0,0,0,0,0,0.6,0.98,1,0.99,1
GOS1,BYB1-H06,0,0,0,0,0,0.01,0.61,0.96,1,0.99,0.99
RRP3,BYB1-H06,0,0,0.01,0,0,0,0.12,0.13,0.1,0.04,0.05
BAT1,BYB1-H06,0.02,0.19,0.17,0.16,0.08,0.03,0,0.01,0.02,0,0
YIL055C,BYB1-H06,0,0,0,0,0,0.03,0.69,0.97,0.99,1,1
HXT8,BYB1-H06,0.01,0.17,0.36,0.22,0.05,0.03,0,0,0,0,0
intergenic,BYB1-H06,0.02,0,0.02,0.14,0.34,0.32,0.89,0.98,1,1,1
intergenic,BYB1-H06,0,0,0.01,0.03,0.09,0.11,0.65,0.99,0.99,1,0.99
RAX2,BYB1-H06,0.01,0.05,0.31,0.33,0.35,0.21,0.04,0,0,0,0
ZRT2,BYB1-H06,0.08,0.36,0.29,0.39,0.59,0.74,0.9,0.99,1,0.99,0.99
GIS4,BYB1-H06,0,0.12,0.32,0.45,0.32,0.22,0.06,0,0.01,0,0
DLT1,BYB1-H06,0,0,0.01,0,0,0,0.01,0.01,0.09,0.17,0.23
GAT2,BYB1-H06,0.11,0.35,0.25,0.35,0.42,0.69,0.86,0.89,0.89,0.92,0.85
intergenic,BYB1-H06,0,0,0.05,0.2,0.29,0.1,0,0,0,0.01,0
YNL165W,BYB1-H06,0,0.08,0.21,0.32,0.34,0.18,0.05,0,0,0,0
SFL1,BYB1-H06,0,0,0.03,0.15,0.31,0.46,0.83,1,1,0.99,1
GPB1,BYB1-H06,0.04,0.3,0.24,0.36,0.64,0.75,0.96,1,1,1,1
DIG1,BYB1-H06,0,0,0,0,0.01,0.02,0.62,0.93,0.99,0.99,0.99
CNE1,BYB1-H10,0,0,0,0,0.19,0.39,0.21,0.23,0.17,0.01,0.02
GPB2,BYB1-H10,0,0,0,0,0.17,0.33,0.27,0.26,0.13,0.03,0
YBL008W-A,BYB1-H10,0,0,0.02,0.01,0.01,0,0,0,0,0.02,0.26
intergenic,BYB1-H10,0.01,0,0.03,0.11,0.19,0.25,0.15,0.06,0.04,0,0
IRA1,BYB1-H10,0,0.03,0.07,0.11,0.07,0.2,0.27,0.35,0.65,0.73,0.97
ROT2,BYB1-H10,0,0,0,0,0,0,0.02,0.04,0.08,0.37,0.58
IDP1,BYB1-H10,0,0,0.03,0.08,0.02,0.1,0.22,0.29,0.43,0.4,0.25
intergenic,BYB1-H10,0,0,0.01,0.08,0.2,0.36,0.26,0.26,0.07,0.04,0
TVP15,BYB1-H10,0,0,0.02,0.07,0.15,0.54,0.47,0.29,0.12,0.04,0.02
CRF1,BYB1-H10,0,0,0.04,0.08,0.16,0.12,0.14,0.1,0,0.05,0
YDRWTy2-3,BYB1-H10,0,0,0,0,0,0,0.1,0.17,0.24,0.34,0.35
YDR340W,BYB1-H10,0.01,0,0,0,0,0,0,0.03,0.11,0.28,0.5
intergenic,BYB1-H10,0,0,0,0,0,0,0.02,0.01,0.14,0.11,0.13
intergenic,BYB1-H10,0,0.02,0,0.01,0.01,0.11,0.22,0.23,0.38,0.39,0.31
MIP6,BYB1-H10,0,0,0.05,0.14,0.21,0.26,0.2,0.09,0.03,0,0
YHR033W,BYB1-H10,0,0,0.01,0,0.01,0.01,0.02,0.04,0.12,0.31,0.61
AXL2,BYB1-H10,0,0,0,0.04,0.13,0.05,0.05,0.01,0,0,0.01
LAA1,BYB1-H10,0,0,0,0.01,0.02,0.07,0.15,0.35,0.51,0.58,0.22
YJL171C,BYB1-H10,0,0,0,0,0,0,0,0.05,0.14,0.36,0.58
ALY2,BYB1-H10,0.01,0,0.01,0,0.01,0.07,0.23,0.27,0.47,0.49,0.13
TUL1,BYB1-H10,0,0.14,0.29,0.37,0.42,0.19,0.23,0.23,0.08,0.13,0.06
DCR2,BYB1-H10,0,0.07,0.13,0.08,0.02,0.02,0,0,0,0,0.02
MUB1,BYB1-H10,0,0,0,0,0,0,0.04,0.06,0.06,0.23,0.56
intergenic,BYB1-H10,0,0,0,0,0,0,0,0.06,0.12,0.42,0.63
KRE5,BYB1-H10,0,0.02,0,0,0.02,0.1,0.11,0.28,0.52,0.57,0.2
intergenic,BYB1-H10,0.01,0.01,0.02,0.02,0,0.01,0,0.07,0.11,0.27,0.44
intergenic,BYB2-E05,0,0,0.25,0.39,0.06,0,0,0,0.01,0.03,0
IRA1,BYB2-E05,0.02,0.35,0.36,0.38,0.78,0.87,0.68,0.73,0.71,0.7,0.52
IRA1,BYB2-E05,0,0.07,0.1,0.07,0.03,0.05,0.1,0.29,0.17,0.21,0.31
ROT2,BYB2-E05,0,0,0.03,0.18,0.47,0.73,0.73,0.78,0.65,0.65,0.38
PCA1,BYB2-E05,0,0,0,0.01,0,0.05,0.19,0.17,0.16,0.16,0.3
intergenic,BYB2-E05,0.01,0,0,0.03,0.21,0.19,0.08,0.05,0.1,0.04,0.25
intergenic,BYB2-E05,0,0,0.23,0.23,0.03,0.02,0,0,0,0,0
PCL10,BYB2-E05,0,0,0,0,0,0,0.04,0.07,0.05,0.28,0.34
HSF1,BYB2-E05,0,0,0.01,0,0,0,0.04,0.1,0.16,0.23,0.36
TFC4,BYB2-E05,0,0.01,0,0,0,0.01,0,0,0.03,0.02,0.11
SSZ1,BYB2-E05,0,0.02,0.3,0.34,0.05,0,0.01,0,0,0,0.01
HUL4,BYB2-E05,0,0,0.01,0.04,0.15,0.18,0.22,0.04,0.09,0.07,0.03
UTR1,BYB2-E05,0,0,0.01,0,0,0,0.02,0.03,0,0.13,0.09
VPS70,BYB2-E05,0,0,0.01,0.1,0.18,0.26,0.18,0.36,0.38,0.48,0.31
YPK1,BYB2-E05,0,0,0,0.06,0.12,0.16,0.11,0.27,0.33,0.46,0.35
DPS1,BYB2-E05,0,0,0,0,0,0,0.04,0.08,0.05,0.26,0.3
ACE2,BYB2-E05,0.01,0.08,0.25,0.06,0,0,0,0,0,0.02,0
ACE2,BYB2-E05,0.01,0,0.01,0.01,0,0,0.02,0.04,0.17,0.19,0.15
intergenic,BYB2-E05,0,0,0,0,0,0,0.02,0.09,0.15,0.34,0.21
PSE1,BYB2-E05,0.02,0.34,0.19,0.39,0.7,0.76,0.71,0.78,0.63,0.67,0.47
YOL075C,BYB2-E05,0,0.01,0.22,0.33,0.07,0,0,0,0,0.01,0
intergenic,BYB2-E05,0.02,0.01,0.06,0.02,0.08,0.03,0.13,0.24,0.26,0.16,0.3
KRE6,BYB2-E05,0,0,0,0.01,0,0.09,0.15,0.21,0.15,0.27,0.31
IRA1,BYB2-F07,0.05,0.63,0.94,0.95,0.98,0.98,0.94,0.95,0.99,1,0.99
RTN2,BYB2-F07,0,0,0,0,0,0.01,0.09,0.35,0.4,0.62,0.69
CDC43,BYB2-F07,0,0,0,0,0,0.01,0.08,0.29,0.59,0.63,0.68
CWH41,BYB2-F07,0.02,0.4,0.81,0.86,0.92,0.91,0.87,0.85,0.95,0.98,0.93
HGH1,BYB2-F07,0,0,0.01,0.01,0,0.04,0.11,0.1,0.07,0.04,0.03
intergenic,BYB2-F07,0,0,0,0,0,0,0.08,0.43,0.53,0.68,0.62
STE11,BYB2-F07,0,0,0,0,0,0,0.01,0,0.04,0.06,0.19
CMP2,BYB2-F07,0.02,0.5,0.89,0.8,0.94,0.88,0.96,0.96,0.97,0.99,1
intergenic,BYB2-F07,0,0,0,0,0,0.01,0.07,0.44,0.43,0.78,0.76
intergenic,BYB2-F07,0,0.01,0,0.01,0,0,0.08,0.3,0.41,0.61,0.57
SFL1,BYB2-F07,0,0.01,0,0,0.01,0,0,0,0.05,0.12,0.2
intergenic,BYB2-F07,0.03,0.04,0.1,0.06,0.07,0.13,0.2,0.44,0.47,0.59,0.7
IRA1,BYB2-F09,0.03,0.44,0.36,0.4,0.86,0.89,0.94,0.94,0.89,0.88,0.68
ROT2,BYB2-F09,0,0,0.04,0.21,0.64,0.65,0.72,0.58,0.48,0.58,0.57
NOP14,BYB2-F09,0,0,0.04,0.21,0.64,0.75,0.61,0.8,0.58,0.66,0.65
KEG1,BYB2-F09,0,0.14,0.21,0.16,0.07,0.02,0,0,0,0,0
YUR1,BYB2-F09,0,0,0,0,0,0.06,0.06,0.04,0.11,0.14,0.18
UFD4,BYB2-F09,0,0,0,0,0,0,0.03,0,0.09,0.11,0.16
PTR2,BYB2-F09,0,0,0,0,0,0.02,0.01,0.02,0.06,0.13,0.19
YLR046C,BYB2-F09,0,0,0,0.11,0.01,0,0,0,0,0.01,0
YMR259C,BYB2-F09,0,0,0,0,0,0.03,0.04,0.02,0.02,0.06,0.22
WHI2,BYB2-F09,0,0.05,0.05,0.11,0.15,0.03,0.03,0.06,0.09,0.18,0.36
UBP2,BYB2-F09,0,0,0,0.02,0.14,0.14,0.19,0.14,0.07,0.08,0.05
TEA1,BYB2-F09,0,0,0.02,0.13,0.09,0.06,0.03,0.05,0.11,0.22,0.35
intergenic,BYB2-F09,0.02,0,0.02,0.28,0.77,0.63,0.7,0.65,0.49,0.72,0.55
intergenic,BYB2-F09,0,0,0.01,0,0.01,0,0.04,0.05,0.11,0.08,0.19
HAA1,BYB2-F09,0,0,0.04,0.3,0.73,0.67,0.77,0.68,0.72,0.65,0.63
GAL1,BYB2-F10,0.03,0,0.02,0.21,0.45,0.4,0.44,0.65,0.38,0.15,0.01
intergenic,BYB2-F10,0.06,0.06,0.59,0.9,0.95,0.97,0.97,0.99,0.96,0.97,0.96
ROT2,BYB2-F10,0.01,0,0,0,0.01,0.06,0.26,0.53,0.31,0.12,0.03
ROT2,BYB2-F10,0.02,0,0.17,0.58,0.58,0.58,0.48,0.44,0.59,0.89,0.87
intergenic,BYB2-F10,0.02,0.02,0.22,0.52,0.64,0.6,0.4,0.48,0.46,0.88,0.9
CSE1,BYB2-F10,0,0,0.01,0,0.01,0,0,0.01,0.24,0.57,0.64
MIG1,BYB2-F10,0,0,0,0,0,0.01,0.01,0.03,0.1,0.14,0.21
STE12,BYB2-F10,0,0,0.01,0,0,0,0,0,0.15,0.32,0.48
BCY1,BYB2-F10,0.05,0.05,0.59,0.98,1,1,1,0.98,1,1,1
URB2,BYB2-F10,0,0,0,0,0,0,0,0,0.04,0.1,0.16
GAP1,BYB2-F10,0,0.1,0.18,0.05,0,0,0.01,0,0,0,0.01
PTR2,BYB2-F10,0.05,0.09,0.42,0.92,1,0.99,1,0.99,1,1,1
YLR162W,BYB2-F10,0.01,0.02,0.07,0.04,0.02,0.04,0.02,0.07,0.22,0.57,0.54
intergenic,BYB2-F10,0.01,0,0,0,0.01,0.1,0.29,0.6,0.44,0.16,0.12
RNH1,BYB2-F10,0,0,0.01,0,0,0,0,0.03,0.13,0.13,0.14
MDJ2,BYB2-F10,0.01,0,0.01,0.01,0.01,0.08,0.14,0.28,0.21,0.15,0.19
intergenic,BYB2-F10,0.01,0,0.01,0.1,0.27,0.34,0.36,0.65,0.45,0.19,0.03
CMK2,BYB2-F10,0,0.01,0.01,0,0,0,0,0.02,0.11,0.32,0.39
WHI2,BYB2-F10,0,0,0,0,0.01,0,0,0.04,0.27,0.58,0.6
ENV9,BYB2-F10,0.04,0.1,0.57,0.97,1,0.99,1,1,1,1,0.99
YPL277C,BYB2-F10,0,0,0,0.01,0,0.15,0.22,0.34,0.27,0.09,0.28
CUP9,BYB2-F10,0,0,0,0.01,0.01,0.09,0.21,0.31,0.17,0.15,0.31
CUP9,BYB2-F10,0.02,0,0.01,0.26,0.36,0.34,0.45,0.53,0.44,0.19,0.07
