gene,population,frequency
PHM7,0,1
FMP43,0,1
FMP43,0,1
YKR096W,0,1
RPO31,0,1
BCY1,2,1
SRN2,2,1
SWI6,2,1
CDC3,2,1
PFK2,2,1
YFL034W,2,1
MAL13,2,1
EGT2,2,1
SCS7,4,1
SNU13,4,1
MND2,4,1
SLH1,4,1
ACE2,4,1
MIG1,5,1
AFG1,5,1
MDY2,5,1
BNA3,5,1
KDX1,5,1
ZDS2,5,1
RSP5,5,1
ATG2,5,1
RBS1,5,1
SHQ1,5,1
JEN1,5,1
MFT1,5,1
YPR022C,5,1
HMG1,6,1
GID7,6,1
APL6,6,1
SPO71,6,1
MCM4,6,1
NSL1,6,1
YML053C,7,1
EMC1,7,1
HEM2,7,1
KEL1,7,1
TRK1,7,1
BET1,8,1
CCZ1,8,1
SUP35,8,1
AMS1,8,1
PTR2,8,1
SRL2,8,1
SUN4,8,1
HSE1,8,1
FUN12,8,1
AVT5,8,1
HSL1,8,1
MON2,10,1
MIG1,10,1
PET123,10,1
FCY21,11,1
VID24,11,1
MDS3,11,1
CTI6,11,1
CYR1,11,1
SPP382,11,1
KRE5,11,1
AMA1,11,1
IRA2,12,1
RPS16B,12,1
KRE6,12,1
YFR016C,12,1
PTR2,12,1
SNF12,12,1
EXO84,12,1
HMS1,12,1
KEL2,12,1
