gene,population,frequency
MAG2,0,1
none,1,1
none,1,1
PUS2,1,1
SET4,1,1
SUR2,1,1
CTF18,1,1
RPG1,2,1
COS9,2,1
HMG1,2,1
UPF3,2,1
none,2,1
none,2,1
NMT1,2,1
YMR315W,2,1
YOR022C,4,1
DPL1,4,1
YEL043W,4,1
ACE2,4,1
WHI2,4,1
HUL4,4,1
none,4,1
UTP10,4,1
SHQ1,4,1
MIG2,5,1
MEK1,5,1
ENP1,5,1
CTM1,5,1
none,5,1
none,5,1
none,5,1
KRE1,5,1
SET3,5,1
ZPR1,5,1
none,5,1
FKS1,6,1
CHS1,6,1
APJ1,6,1
TOF1,6,1
ICS2,6,1
MUM3,6,1
none,6,1
GCN1,6,1
none,6,1
none,6,1
none,6,1
SEC61,6,1
ATG5,6,1
RPN11,6,1
RSR1,6,1
DNF3,6,1
none,6,1
RMT2,6,1
SOK2,7,1
EST2,7,1
MAS1,7,1
GDE1,7,1
GRR1,7,1
MDM31,7,1
MIH1,7,1
CTS1,7,1
CTS1,7,1
UBP7,8,1
SCS22,8,1
none,8,1
HMG1,8,1
DSE1,8,1
none,8,1
none,8,1
none,8,1
RFC1,8,1
RRG7,10,1
RTG1,10,1
LSB6,10,1
YMR099C,10,1
WHI2,10,1
BUD4,10,1
UGA1,10,1
TRA1,10,1
RPP1B,10,1
YFR045W,10,1
none,10,1
none,10,1
RRP5,10,1
YAP1802,10,1
none,11,1
SEC18,11,1
YHR033W,11,1
GIP3,11,1
MCM2,11,1
AST2,11,1
GEP7,11,1
VTC4,11,1
none,11,1
DED1,11,1
DSE2,11,1
TIF5,11,1
DDR48,12,1
TKL2,12,1
SRB8,12,1
none,12,1
MIP1,12,1
