gene,population,frequency
none,0,1
SNU66,0,1
MRH4,0,1
TRZ1,0,1
TMA10,0,1
none,0,1
none,0,1
SUR2,1,1
SOK1,1,1
TRM44,1,1
none,1,1
FUS1,1,1
TRS120,1,1
none,1,1
YEL023C,1,1
none,1,1
GPB2,1,1
none,1,1
YJL171C,1,1
none,1,1
none,1,1
SAK1,1,1
none,1,1
HTS1,1,1
KEM1,1,1
none,1,1
DOT6,2,1
CDC6,2,1
CDC28,2,1
SHO1,2,1
none,2,1
CDC37,4,1
CAT5,4,1
BZZ1,4,1
CDC28,4,1
CDC37,4,1
none,4,1
none,4,1
YEL023C,4,1
none,4,1
TRS130,4,1
none,4,1
none,4,1
ACE2,4,1
ACE2,4,1
FKH2,5,1
none,5,1
none,5,1
none,5,1
none,5,1
none,5,1
none,5,1
none,5,1
none,5,1
none,5,1
none,5,1
VPS74,5,1
none,5,1
none,5,1
BUD23,6,1
TOM1,6,1
PAN5,6,1
GLC7,6,1
HMG1,6,1
MOT3,6,1
none,6,1
none,6,1
OYE2,6,1
YKL050C,6,1
MGM1,6,1
YMR124W,6,1
none,6,1
DYN1,7,1
none,7,1
SER3,7,1
CNE1,7,1
YKR096W,7,1
SIR4,7,1
SUR2,8,1
none,8,1
TCB3,8,1
NUP85,8,1
NUP85,8,1
PHO81,8,1
SPC110,8,1
YLR241W,8,1
SEC26,8,1
REC102,8,1
APJ1,8,1
TGS1,8,1
none,10,1
FUS3,10,1
none,10,1
COG6,10,1
MMP1,10,1
UBP14,10,1
AAD10,10,1
none,10,1
YJR012C,11,1
YLR031W,11,1
IRA1,11,1
NRP1,11,1
ZRC1,11,1
CAB4,11,1
GRR1,11,1
ACE2,11,1
ACE2,11,1
SUL1,11,1
GNP1,11,1
SNG1,12,1
YLL056C,12,1
RAS2,12,1
none,12,1
ROT2,12,1
GCN5,12,1
MDN1,12,1
YRM1,12,1
