"population","gene","prop"
"RMB2-F01","ACE2",1
"BYS1-A04","AHC1",0.14
"BYS2-A11","AIM2",0.31
"BYB1-H10","ALY2",0.07
"BYS2-B09","ANP1",0.15
"RMS1-E09","APL6",0.72
"RMS1-E09","ARA1",0.77
"RMS1-E09","ARO1",0.8
"RMB1-A02","ASG1",0.28
"RMS1-G02","ATG11",0.09
"BYS2-B09","ATP10",0.25
"RMB2-B10","ATR1",0.33
"BYS1-A07","AXL2",0.99
"RMB2-B10","BCH1",0.45
"BYB2-F10","BCY1",1
"RMB2-F09","BEM2",0.41
"BYS1-E03","BOI1",0.13
"RMS2-D09","BUD8",0.07
"RMS1-D12","CAF4",0.15
"BYS2-D07","CAT2",0.11
"RMS1-E09","CCC2",0.75
"BYB2-F07","CMP2",0.89
"BYB1-H10","CNE1",0.39
"BYS1-A09","CNE1",0.27
"BYS1-D03","CNE1",0.71
"RMS1-G02","COP1",0.09
"BYB2-F10","COX1",0.92
"BYS2-C03","CRF1",0.04
"BYB1-B01","CST6",1
"BYS1-A07","CTS1",1
"BYS1-E03","CUE2",0.1
"BYB2-F10","CUP9",0.08
"BYB2-F10","CUP9",0.33
"BYB2-F07","CWH41",0.91
"RMS2-D09","CWH41",0.99
"BYS1-E03","DBR1",0.92
"BYS1-G02","DIE2",0.08
"BYS2-E04","DMA2",1
"BYS1-A09","DMC1",0.24
"BYS1-G02","DOA4",0.17
"BYB1-G07","DOT6",0.35
"RMB2-F01","ECM21",1
"BYS1-E03","ECM25",0.45
"RMB2-D08","ECM33",0.12
"BYS1-A08","ELO1",1
"BYB2-F10","ENV9",0.99
"RMB2-D08","EOS1",0.1
"BYS1-G02","ERG1",0.07
"BYS1-E03","ERG11",1
"BYS2-C06","ERV1",0.23
"BYS1-D03","EXG2",0.76
"BYS1-D07","FAR1",0.87
"RMS1-E09","FAS2",0.76
"RMB2-D08","FKS1",0.76
"RMB2-F09","FKS1",0.99
"BYS2-C06","FLO10",0.1
"RMS1-H08","FMP41",0.4
"BYB2-F10","GAL1",0.4
"BYS2-E03","GAL11",0.18
"BYS1-A08","GAS1",1
"BYS2-C06","GAS1",1
"BYS2-D06","GAS1",1
"BYB1-H06","GAT2",0.71
"BYS2-E04","GCN1",1
"BYS1-D08","GCN2",0.23
"BYS1-G01","GIP1",0.66
"BYB1-H06","GIS4",0.23
"BYB1-H06","GPB1",0.73
"BYS1-D03","GPB1",0.09
"BYB1-H10","GPB2",0.35
"BYS1-G01","GPB2",0.21
"BYB2-F09","HAA1",0.67
"BYS1-D07","HAP1",0.2
"BYS1-D03","HFM1",0.7
"BYS2-E04","HKR1",1
"BYS1-E03","HMI1",0.38
"BYS2-B09","HSL1",0.95
"BYB1-H10","IDP1",0.11
"BYS1-D08","IML2",0.15
"RMS1-H08","INO80",0.44
"BYS2-E01","IQG1",0.08
"BYB1-C05","IRA1",0.93
"BYB1-H10","IRA1",0.21
"BYB2-E05","IRA1",0.88
"BYB2-F07","IRA1",0.98
"BYB2-F09","IRA1",0.88
"BYS1-A04","IRA1",0.64
"BYS1-E03","IRA1",0.98
"RMB1-A02","IRA1",0.97
"RMB2-F01","IRA1",0.81
"RMB2-F09","IRA1",0.17
"RMS1-D12","IRA1",0.82
"RMS1-G02","IRA1",0.07
"RMS1-H08","IRA1",0.45
"RMB2-F09","IRA2",0.64
"BYS2-D07","ISU2",0.99
"RMS1-G02","KEL1",0.08
"RMB2-F09","KEL3",0.07
"BYB1-H10","KRE5",0.1
"BYS2-C03","KRE5",1
"RMB2-B10","KRE5",0.45
"BYB2-E05","KRE6",0.09
"RMS1-H08","KRE6",0.43
"RMS1-H08","KRE6",0.59
"BYS2-C01","KRE9",0.98
"BYB1-H10","LAA1",0.08
"BYS2-C06","LAP4",1
"BYS2-A11","LCB2",1
"RMB1-A02","LCB4",0.44
"BYS1-D03","LEU3",0.6
"BYS2-C06","LYS5",0.42
"BYB2-F10","MDJ2",0.08
"BYS2-D07","MMP1",0.22
"RMS1-G02","MOT3",0.72
"BYS1-D03","MPT5",0.75
"BYS1-D08","MPT5",0.13
"BYS1-E03","MRPL10",0.98
"RMS1-E09","MRS1",0.74
"BYS2-E03","MRS4",0.29
"BYS1-F05","MSL1",1
"RMS1-E09","MTR4",0.69
"BYS1-D08","MUD1",0.25
"RMS1-H08","NCP1",0.35
"BYS2-D06","NHX1",0.99
"RMS1-G02","NIP1",0.85
"BYS1-G01","NNT1",0.07
"BYB2-F09","NOP14",0.77
"RMS1-D12","NUP57",1
"BYS1-A04","PAC10",0.12
"RMS1-H08","PAM1",0.66
"BYB1-G07","PCT1",0.28
"RMS2-D09","PDC1",0.08
"RMB2-B10","PDE2",0.4
"RMB1-A02","PDR16",0.39
"BYS1-F05","PDR5",1
"RMB2-F09","PDR5",1
"RMS1-D12","PDR5",0.99
"RMS1-E09","PDR5",1
"RMB2-F09","PEP8",0.53
"BYS2-C06","PEX1",0.17
"BYS1-D03","PGI1",0.73
"RMS1-E09","PHO90",0.1
"RMB2-B10","PKP2",0.58
"BYB1-G07","PMD1",0.58
"BYS1-D07","PMT1",0.81
"BYS2-B09","PMT1",0.06
"BYS2-E03","POL2",0.98
"BYS2-A11","POL3",0.26
"BYS1-D07","PPT1",0.84
"BYB2-E05","PSE1",0.77
"RMB2-F01","PSE1",1
"RMS1-H08","PSH1",0.34
"BYS2-A11","PTC3",0.99
"BYB2-F10","PTR2",0.99
"RMB2-F01","QRI1",0.89
"BYS1-G02","RAS2",0.34
"BYB1-H06","RAX2",0.21
"BYS2-D07","RCK2",0.29
"RMS1-E09","RED1",0.75
"BYS2-A11","REI1",0.39
"RMS1-D12","RGA2",0.2
"RMS1-E09","RML2",0.75
"BYS2-D07","ROG1",0.11
"BYB1-G07","ROT2",0.47
"BYB2-E05","ROT2",0.74
"BYB2-F09","ROT2",0.59
"BYB2-F10","ROT2",0.06
"BYB2-F10","ROT2",0.61
"BYS1-A04","ROT2",1
"BYS1-G01","ROT2",0.52
"RMB2-D08","ROT2",0.11
"RMS1-D12","ROT2",0.99
"BYS2-C06","RPG1",0.64
"RMB1-A02","RPL17B",1
"BYS2-E03","RPO21",1
"BYS1-D08","RPO31",0.06
"BYS1-G02","RPO31",0.4
"BYS1-G02","RPS21B",0.46
"RMS1-D12","RPS4A",0.84
"BYS2-B09","RPT5",0.15
"BYS2-C01","RRD1",1
"BYS1-A09","RSF2",0.22
"BYS1-D08","RXT2",1
"BYS1-E03","SAY1",0.09
"BYS2-C03","SCC2",0.99
"RMS1-G02","SEC16",0.07
"RMB2-D08","SEC6",0.68
"RMB2-F01","SEC6",0.2
"BYS1-F05","SET4",0.56
"BYB1-B01","SFL1",0.95
"BYB1-H06","SFL1",0.45
"RMB2-F09","SNF12",0.32
"BYB1-G07","SPC3",0.25
"BYS2-C06","SPR3",0.09
"RMS1-H08","SSP120",0.41
"BYB1-C05","STE11",0.16
"RMB2-B10","STE11",0.41
"RMS1-H08","STE11",0.64
