"population","gene","prop"
"RMB2-F01","ACE2",1
"BYS1-A04","AHC1",0.7
"BYS2-A11","AIM2",0.16
"RMB1-A02","ASG1",0.32
"RMB2-B10","ATR1",0.23
"BYS1-A07","AXL2",0.98
"RMB2-B10","BCH1",0.43
"BYB2-F10","BCY1",0.98
"RMB2-F09","BEM2",0.1
"BYB2-F07","CMP2",0.8
"BYB2-F10","COX1",0.91
"BYB1-B01","CST6",1
"BYS1-A07","CTS1",0.94
"BYB2-F10","CUP9",0.27
"BYB2-F07","CWH41",0.87
"RMS2-D09","CWH41",0.91
"BYS1-E03","DBR1",0.27
"BYS2-E04","DMA2",0.96
"BYB1-G07","DOT6",0.27
"RMB2-F01","ECM21",1
"BYS1-E03","ECM25",0.19
"BYS1-A08","ELO1",1
"BYB2-F10","ENV9",0.97
"BYS1-E03","ERG11",0.39
"BYS2-C06","ERV1",0.35
"BYS1-D07","FAR1",0.83
"RMB2-D08","FKS1",0.97
"RMB2-F09","FKS1",0.86
"RMS1-H08","FMP41",0.06
"BYB2-F10","GAL1",0.22
"BYS2-E03","GAL11",0.16
"BYS1-A08","GAS1",0.99
"BYS2-C06","GAS1",1
"BYS2-D06","GAS1",0.54
"BYB1-H06","GAT2",0.38
"BYS2-E04","GCN1",0.92
"BYS1-D08","GCN2",0.08
"BYS1-G01","GIP1",0.32
"BYB1-H06","GIS4",0.46
"BYB1-H06","GPB1",0.36
"BYS1-D03","GPB1",0.42
"BYS1-G01","GPB2",0.59
"BYB2-F09","HAA1",0.31
"BYS1-D07","HAP1",0.22
"BYS2-E04","HKR1",0.91
"BYS1-E03","HMI1",0.23
"BYS2-B09","HSL1",0.74
"BYB1-H10","IDP1",0.09
"BYS2-E01","IQG1",0.12
"BYB1-C05","IRA1",0.91
"BYB1-H10","IRA1",0.1
"BYB2-E05","IRA1",0.44
"BYB2-E05","IRA1",0.08
"BYB2-F07","IRA1",0.95
"BYB2-F09","IRA1",0.41
"BYS1-E03","IRA1",0.58
"RMB1-A02","IRA1",0.86
"RMS1-D12","IRA1",0.08
"BYS2-D07","ISU2",1
"BYS2-C03","KRE5",1
"RMB2-B10","KRE5",0.44
"RMS1-H08","KRE6",0.23
"BYS2-C01","KRE9",0.8
"BYS2-C06","LAP4",1
"BYS2-A11","LCB2",0.96
"RMB1-A02","LCB4",0.15
"BYS2-D07","MMP1",0.3
"RMS1-G02","MOT3",0.63
"BYS1-E03","MRPL10",0.64
"BYS1-F05","MSL1",1
"RMS1-H08","NCP1",0.07
