"population","gene","prop"
"RMB2-F01","ACE2",0.65
"BYS1-A04","AHC1",0.33
"RMB2-B10","ATR1",0.16
"BYS1-A07","AXL2",0.92
"RMB2-B10","BCH1",0.16
"BYB2-F10","BCY1",0.62
"BYB2-F07","CMP2",0.87
"BYB2-F10","COX1",0.49
"BYB1-B01","CST6",0.97
"BYS1-A07","CTS1",0.1
"BYB2-F07","CWH41",0.81
"RMS2-D09","CWH41",0.34
"BYS2-E04","DMA2",0.86
"BYB1-G07","DOT6",0.05
"RMB2-F01","ECM21",0.77
"BYS1-A08","ELO1",0.97
"BYB2-F10","ENV9",0.58
"BYS1-E03","ERG11",0.07
"BYS2-C06","ERV1",0.31
"BYS1-D07","FAR1",0.72
"RMB2-D08","FKS1",0.89
"RMB2-F09","FKS1",0.94
"BYS2-E03","GAL11",0.11
"BYS1-A08","GAS1",0.97
"BYS2-C06","GAS1",0.99
"BYB1-H06","GAT2",0.29
"BYS2-E04","GCN1",0.78
"BYS1-G01","GIP1",0.16
"BYB1-H06","GIS4",0.32
"BYB1-H06","GPB1",0.3
"BYS1-D03","GPB1",0.17
"BYS1-G01","GPB2",0.51
"BYS1-D07","HAP1",0.21
"BYS2-E04","HKR1",0.89
"BYS2-B09","HSL1",0.21
"BYS2-E01","IQG1",0.08
"BYB1-C05","IRA1",0.53
"BYB1-H10","IRA1",0.07
"BYB2-E05","IRA1",0.37
"BYB2-E05","IRA1",0.1
"BYB2-F07","IRA1",0.96
"BYB2-F09","IRA1",0.36
"BYS1-E03","IRA1",0.74
"RMB1-A02","IRA1",0.18
"BYS2-D07","ISU2",0.98
"BYS2-C03","KRE5",0.99
"RMB2-B10","KRE5",0.09
"RMS1-H08","KRE6",0.06
"BYS2-C01","KRE9",0.75
"BYS2-C06","LAP4",0.99
"BYS2-A11","LCB2",0.3
"RMB1-A02","LCB4",0.06
"BYS2-D07","MMP1",0.34
"RMS1-G02","MOT3",0.23
"BYS1-E03","MRPL10",0.5
"BYS1-F05","MSL1",1
"BYS2-D06","NHX1",0.23
"RMS1-G02","NIP1",0.25
"RMS1-D12","NUP57",0.82
"BYS1-A04","PAC10",0.42
"RMB2-B10","PDE2",0.09
"BYS1-F05","PDR5",1
"RMB2-F09","PDR5",0.99
"RMS1-D12","PDR5",1
"RMS1-E09","PDR5",0.87
"RMS1-H08","PDR5",0.69
"RMS2-D09","PDR5",0.57
"RMB2-B10","PKP2",0.15
"BYB1-G07","PMD1",0.06
"BYS1-D07","PMT1",0.63
"BYS2-E03","POL2",0.66
"BYS1-D07","PPT1",0.63
"BYB2-E05","PSE1",0.17
"RMB2-F01","PSE1",0.82
"BYS2-A11","PTC3",0.21
"BYB2-F10","PTR2",0.46
"BYS1-G02","RAS2",0.09
"BYB1-H06","RAX2",0.32
"BYS2-D07","RCK2",0.1
"BYB1-G07","ROT2",0.11
"BYB2-F09","ROT2",0.06
"BYB2-F10","ROT2",0.18
"BYS1-A04","ROT2",0.86
"BYS1-G01","ROT2",0.18
"RMB2-D08","ROT2",0.06
"RMS1-D12","ROT2",0.74
"BYS2-C06","RPG1",0.28
"RMB1-A02","RPL17B",0.15
"BYS2-E03","RPO21",0.65
"BYS1-D08","RPO31",0.07
"BYS1-G02","RPO31",0.06
"BYS1-G02","RPS21B",0.1
"BYS2-C01","RRD1",0.77
"BYS1-D08","RXT2",0.99
"BYS2-C03","SCC2",0.98
"RMB2-D08","SEC6",0.88
"BYB1-B01","SFL1",0.85
"BYB1-G07","SPC3",0.54
"BYS2-E01","STE12",0.28
"BYS2-E03","STE12",0.58
"RMB2-F09","STE12",0.37
"BYS1-A04","STE4",0.76
"BYS1-F05","STE4",0.5
"BYB1-B01","TRS130",0.97
"BYS1-F05","TTI1",0.4
"BYB1-H10","TUL1",0.32
"BYS1-G02","UBR2",0.1
"BYB1-B01","UBX5",0.94
"BYS1-F05","VID22",0.36
"RMB2-F01","VID30",0.73
"BYB1-C05","VPS15",0.33
"BYS1-D07","VTC3",0.67
"BYB1-G07","WHI2",0.3
"BYS2-C01","YAT1",0.77
"BYS1-G01","YDR524C-B",0.48
"BYS2-A11","YHR033W",0.24
"RMS1-G02","YHR122W",0.29
"BYS2-D06","YIL102C-A",0.15
"BYB1-C05","YLR177W",0.41
"BYS2-A11","YLR253W",0.1
"RMS1-G02","YLR413W",0.27
"BYS1-D07","YMR102C",0.15
"BYB1-H06","YNL165W",0.2
"BYS2-E04","YNL207W",0.81
"BYS1-G01","YNR066C",0.25
"RMB2-B10","YOL036W",0.1
"BYS2-C03","YOL162W",1
"BYB1-G07","YPR196W",0.1
"BYB1-G07","YUR1",0.05
"BYS1-D08","YUR1",0.98
"BYS1-G01","YUR1",0.16
"BYS2-D07","YUR1",0.97
"BYS2-E04","YUR1",0.83
"RMB2-B10","YUR1",0.23
"BYB1-H06","ZRT2",0.29
"RMB2-F01","ZWF1",0.71
